speaker_name,year,sum_male,sum_female,sum_neutral_female,sum_neutral_male,sum_neutral,ratio_neutral_male,ratio_neutral_female
Donald J. McCauley,1998,0,0,0,0,0,0,0
David C. Frederick,1998,0,0,0,0,0,0,0
Steven A. Morley,1998,0,0,0,0,0,0,0
Michael R. Dreeben,1998,0,0,0,0,0,0,0
Bridget A. Chambers,1998,0,0,0,0,0,0,0
Paul Rosenberg,1998,0,0,0,0,0,0,0
"Bruce J. Ennis, Jr.",1998,0,0,0,0,0,0,0
David W. Carpenter,1998,0,0,0,0,0,0,0
William P. Barr,1998,0,0,0,0,0,0,0
Diane Munns,1998,0,0,0,0,0,0,0
Laurence H. Tribe,1998,0,0,0,0,0,0,0
Seth P. Waxman,1998,0,0,0,0,0,0,0
Barbara D. Underwood,1998,0,0,0,0,0,0,0
"W. Warren Plowden, Jr.",1998,0,0,0,0,0,0,0
Verna L. Williams,1998,0,0,0,0,0,0,0
"William A. Barnett, Jr.",1998,0,0,0,0,0,0,0
Irving L. Gornstein,1998,0,0,0,0,0,0,0
Charles A. Edwards,1998,0,0,0,0,0,0,0
Ray P. McClain,1998,0,0,0,0,0,0,0
Barbara D. Underwood,1998,0,0,0,0,0,0,0
Roy W. McLeese,1998,0,0,0,0,0,0,0
Daniel I. Siegel,1998,0,0,0,0,0,0,0
Gale Norton,1998,0,0,0,0,0,0,0
Neil D. O'Toole,1998,0,0,0,0,0,0,0
Timothy Crooks,1998,0,0,0,0,0,0,0
Michael R. Dreeben,1998,0,0,0,0,0,0,0
Alan B. Morrison,1998,0,0,0,0,0,0,0
Jeffrey M. Sewell,1998,0,0,0,0,0,0,0
Kent L. Jones,1998,0,0,0,0,0,0,0
Eric W. Bloom,1998,0,0,0,0,0,0,0
Robert W. Ray,1998,0,0,0,0,0,0,0
William B. Mallin,1998,0,0,0,0,0,0,0
David C. Todd,1998,0,0,0,0,0,0,0
Seth P. Waxman,1998,0,0,0,0,0,0,0
Barbara B. McDowell,1998,0,0,0,0,0,0,0
Paul S. Rehurek,1998,0,0,0,0,0,0,0
Donna D. Domonkos,1998,0,0,0,0,0,0,0
Eric Schnapper,1998,0,0,0,0,0,0,0
Raymond C. Fay,1998,0,0,0,0,0,0,0
Seth P. Waxman,1998,0,0,0,0,0,0,0
Carolyn M. Snurkowski,1998,0,0,0,0,0,0,0
Malcolm L. Stewart,1998,0,0,0,0,0,0,0
David P. Gauldin,1998,0,0,0,0,0,0,0
Richard A. Mescon,1998,0,0,0,0,0,0,0
"Drew S. Days, III",1998,0,0,0,0,0,0,0
Timothy M. Kelly,1998,0,0,0,0,0,0,0
Barbara B. McDowell,1998,0,0,0,0,0,0,0
Thomas L. Casey,1998,0,0,0,0,0,0,0
Deborah LaBelle,1998,0,0,0,0,0,0,0
Deborah A. La Belle,1998,0,0,0,0,0,0,0
John M. Economidy,1998,0,0,0,0,0,0,0
Michael R. Dreeben,1998,0,0,0,0,0,0,0
Stuart Kirsch,1998,0,0,0,0,0,0,0
David M. Smith,1998,0,0,0,0,0,0,0
David C. Frederick,1998,0,0,0,0,0,0,0
Ernest Gellhorn,1998,0,0,0,0,0,0,0
Lawrence G. Wallace,1998,0,0,0,0,0,0,0
"Bruce J. Ennis, Jr.",1998,0,0,0,0,0,0,0
Barbara D. Underwood,1998,0,0,0,0,0,0,0
Michael A. Carvin,1998,0,0,0,0,0,0,0
Maureen E. Mahoney,1998,0,0,0,0,0,0,0
Seth P. Waxman,1998,0,0,0,0,0,0,0
Michael A. Carvin,1998,0,0,0,0,0,0,0
Patricia A. Brannan,1998,0,0,0,0,0,0,0
Paul R. Q. Wolfson,1998,0,0,0,0,0,0,0
Peter J. Brann,1998,0,0,0,0,0,0,0
Laurence E. Gold,1998,0,0,0,0,0,0,0
Seth P. Waxman,1998,0,0,0,0,0,0,0
Clifton T. Hutchinson,1998,0,0,0,0,0,0,0
Charles Alan Wright,1998,0,0,0,0,0,0,0
Kevin J. Culligan,1998,0,0,0,0,0,0,0
Jonathan A. Glogau,1998,0,0,0,0,0,0,0
Seth P. Waxman,1998,0,0,0,0,0,0,0
Beverly P. Downing,1998,0,0,0,0,0,0,0
Michael H. Gottesman,1998,0,0,0,0,0,0,0
Irving L. Gornstein,1998,0,0,0,0,0,0,0
Miguel A. Estrada,1998,0,0,0,0,0,0,0
Pamela A. Rumpz,1998,0,0,0,0,0,0,0
Kathleen P. Baldwin,1998,0,0,0,0,0,0,0
Katherine P. Baldwin,1998,0,0,0,0,0,0,0
Ira S. Sacks,1998,0,0,0,0,0,0,0
Scott N. Hunt,1998,0,0,0,0,0,0,0
Edward C. DuMont,1998,0,0,0,0,0,0,0
Corbett Gordon,1998,0,0,0,0,0,0,0
Jonathan Nuechterlein,1998,0,0,0,0,0,0,0
"H. Bartow Farr, III",1998,0,0,0,0,0,0,0
James R. Atwood,1998,0,0,0,0,0,0,0
Thomas C. Goldstein,1998,0,0,0,0,0,0,0
John J. Arnold,1998,0,0,0,0,0,0,0
Jeffrey P. Minear,1998,0,0,0,0,0,0,0
Carter G. Phillips,1998,0,0,0,0,0,0,0
Thomas H. Shipps,1998,0,0,0,0,0,0,0
Thomas J. Davidson,1998,0,0,0,0,0,0,0
"John G. Roberts, Jr.",1998,0,0,0,0,0,0,0
Edwin S. Kneedler,1998,0,0,0,0,0,0,0
Carter G. Phillips,1998,0,0,0,0,0,0,0
Robinson O. Everett,1998,0,0,0,0,0,0,0
James A. Feldman,1998,0,0,0,0,0,0,0
"Walter E. Dellinger, III",1998,0,0,0,0,0,0,0
Mark D. Rosenbaum,1998,0,0,0,0,0,0,0
Theodore Garelis,1998,0,0,0,0,0,0,0
Seth P. Waxman,1998,0,0,0,0,0,0,0
Mason D. Morisset,1999,0,0,0,0,0,0,0
Jerome C. Muys,1999,0,0,0,0,0,0,0
Jeffrey P. Minear,1999,0,0,0,0,0,0,0
James B. Koch,1999,0,0,0,0,0,0,0
Malcolm L. Stewart,1999,0,0,0,0,0,0,0
Richard A. Devine,1999,0,0,0,0,0,0,0
Ronald J. Nessim,1999,0,0,0,0,0,0,0
Carol F. Jorstad,1999,0,0,0,0,0,0,0
Daniel M. Traylor,1999,0,0,0,0,0,0,0
Kent L. Jones,1999,0,0,0,0,0,0,0
Jeffrey A. Lamken,1999,0,0,0,0,0,0,0
Kimball R. Anderson,1999,0,0,0,0,0,0,0
Richard M. Cooper,1999,0,0,0,0,0,0,0
Seth P. Waxman,1999,0,0,0,0,0,0,0
Gregory A. Karle,1999,0,0,0,0,0,0,0
John H. Weston,1999,0,0,0,0,0,0,0
Matthew D. Roberts,1999,0,0,0,0,0,0,0
Michael P. Fleming,1999,0,0,0,0,0,0,0
Michael T. Leibig,1999,0,0,0,0,0,0,0
Andrew Zwerling,1999,0,0,0,0,0,0,0
Beverly Van Ness,1999,0,0,0,0,0,0,0
Elizabeth S. Kertscher,1999,0,0,0,0,0,0,0
Jonathan Nuechterlein,1999,0,0,0,0,0,0,0
Susan K. Ullman,1999,0,0,0,0,0,0,0
Jordan W. Lorence,1999,0,0,0,0,0,0,0
Michael R. Dreeben,1999,0,0,0,0,0,0,0
Michael Gordon,1999,0,0,0,0,0,0,0
James L. DeAno,1999,0,0,0,0,0,0,0
Irving L. Gornstein,1999,0,0,0,0,0,0,0
John R. Wimmer,1999,0,0,0,0,0,0,0
Lisa S. Blatt,1999,0,0,0,0,0,0,0
Robert Mastrocola,1999,0,0,0,0,0,0,0
Brian Shiffrin,1999,0,0,0,0,0,0,0
Paul E. O'Connor,1999,0,0,0,0,0,0,0
Edward C. DuMont,1999,0,0,0,0,0,0,0
Quin Denvir,1999,0,0,0,0,0,0,0
Charles Condon,1999,0,0,0,0,0,0,0
Seth P. Waxman,1999,0,0,0,0,0,0,0
Michael M. Rosenbaum,1999,0,0,0,0,0,0,0
Jay Starkman,1999,0,0,0,0,0,0,0
Lee Boothby,1999,0,0,0,0,0,0,0
Michael W. McConnell,1999,0,0,0,0,0,0,0
Barbara D. Underwood,1999,0,0,0,0,0,0,0
Walter J. Rockler,1999,0,0,0,0,0,0,0
Kent L. Jones,1999,0,0,0,0,0,0,0
Robert Corn-Revere,1999,0,0,0,0,0,0,0
James A. Feldman,1999,0,0,0,0,0,0,0
Barbara B. McDowell,1999,0,0,0,0,0,0,0
Kevin M. Schad,1999,0,0,0,0,0,0,0
William B. Collins,1999,0,0,0,0,0,0,0
C. Jonathan Benner,1999,0,0,0,0,0,0,0
David C. Frederick,1999,0,0,0,0,0,0,0
Arthur H. Bryant,1999,0,0,0,0,0,0,0
Malcolm E. Wheeler,1999,0,0,0,0,0,0,0
Lawrence G. Wallace,1999,0,0,0,0,0,0,0
Edwin S. Kneedler,1999,0,0,0,0,0,0,0
"J. Wallace Malley, Jr.",1999,0,0,0,0,0,0,0
Theodore B. Olson,1999,0,0,0,0,0,0,0
Michael E. McLachlan,1999,0,0,0,0,0,0,0
Barbara D. Underwood,1999,0,0,0,0,0,0,0
Jay A. Sekulow,1999,0,0,0,0,0,0,0
Carter G. Phillips,1999,0,0,0,0,0,0,0
James A. Feldman,1999,0,0,0,0,0,0,0
James P. Ginzkey,1999,0,0,0,0,0,0,0
Daniel H. Bromberg,1999,0,0,0,0,0,0,0
Susan S. Wagner,1999,0,0,0,0,0,0,0
Timothy S. Bishop,1999,0,0,0,0,0,0,0
Edwin S. Kneedler,1999,0,0,0,0,0,0,0
Michael J. Neimand,1999,0,0,0,0,0,0,0
Harvey J. Sepler,1999,0,0,0,0,0,0,0
Irving L. Gornstein,1999,0,0,0,0,0,0,0
Walter Hellerstein,1999,0,0,0,0,0,0,0
David Lew,1999,0,0,0,0,0,0,0
"J. Joseph Bodine, Jr.",1999,0,0,0,0,0,0,0
Edward B. Foley,1999,0,0,0,0,0,0,0
Matthew D. Roberts,1999,0,0,0,0,0,0,0
Michael Pescetta,1999,0,0,0,0,0,0,0
David F. Sarnowski,1999,0,0,0,0,0,0,0
"Bruce J. Ennis, Jr.",1999,0,0,0,0,0,0,0
Edward C. DuMont,1999,0,0,0,0,0,0,0
Thomas C. Goldstein,1999,0,0,0,0,0,0,0
John Cornyn,1999,0,0,0,0,0,0,0
Beth S. Brinkmann,1999,0,0,0,0,0,0,0
Richard D. Bernstein,1999,0,0,0,0,0,0,0
Ronald D. Maines,1999,0,0,0,0,0,0,0
Robert Foster,1999,0,0,0,0,0,0,0
Jeremiah A. Collins,1999,0,0,0,0,0,0,0
Barbara D. Underwood,1999,0,0,0,0,0,0,0
Jeffrey S. Sutton,1999,0,0,0,0,0,0,0
Theodore B. Olson,1999,0,0,0,0,0,0,0
Edwin S. Kneedler,1999,0,0,0,0,0,0,0
"John G. Roberts, Jr.",1999,0,0,0,0,0,0,0
Donald A. Cockrill,1999,0,0,0,0,0,0,0
Jeffrey P. Minear,1999,0,0,0,0,0,0,0
Bruce J. Terris,1999,0,0,0,0,0,0,0
Robert Q. Harris,1999,0,0,0,0,0,0,0
John J. Gibbons,1999,0,0,0,0,0,0,0
"Richard P. Hogan, Jr.",1999,0,0,0,0,0,0,0
"Charles T. Frazier, Jr.",1999,0,0,0,0,0,0,0
M. Carolyn Fuentes,1999,0,0,0,0,0,0,0
Jeffrey A. Lamken,1999,0,0,0,0,0,0,0
Robert A. Graci,1999,0,0,0,0,0,0,0
Robert A. Graci,1999,0,0,0,0,0,0,0
James B. Lieber,1999,0,0,0,0,0,0,0
James B. Lieber,1999,0,0,0,0,0,0,0
Sarah H. Bohr,1999,0,0,0,0,0,0,0
Malcolm L. Stewart,1999,0,0,0,0,0,0,0
Jeremiah W. Nixon,1999,0,0,0,0,0,0,0
D. Bruce La Pierre,1999,0,0,0,0,0,0,0
Seth P. Waxman,1999,0,0,0,0,0,0,0
Benjamin L. Coleman,1999,0,0,0,0,0,0,0
Barbara B. McDowell,1999,0,0,0,0,0,0,0
Lisa S. Blatt,1999,0,0,0,0,0,0,0
Mark L. Horwitz,1999,0,0,0,0,0,0,0
Christopher S. Brasher,1999,0,0,0,0,0,0,0
Catherine W. Smith,1999,0,0,0,0,0,0,0
Mark D. Olson,1999,0,0,0,0,0,0,0
William D. Coston,1999,0,0,0,0,0,0,0
Stuart M. Riback,1999,0,0,0,0,0,0,0
Lawrence G. Wallace,1999,0,0,0,0,0,0,0
Paul A. Strandness,1999,0,0,0,0,0,0,0
Christine A. Hogan,1999,0,0,0,0,0,0,0
Ronald J. Mann,1999,0,0,0,0,0,0,0
"John W. Nields, Jr.",1999,0,0,0,0,0,0,0
Michael R. Dreeben,1999,0,0,0,0,0,0,0
Barbara D. Underwood,1999,0,0,0,0,0,0,0
Kenneth Falk,1999,0,0,0,0,0,0,0
Jon Laramore,1999,0,0,0,0,0,0,0
Carter G. Phillips,1999,0,0,0,0,0,0,0
Kent L. Jones,1999,0,0,0,0,0,0,0
Gregory S. Coleman,1999,0,0,0,0,0,0,0
Patricia A. Millett,1999,0,0,0,0,0,0,0
Carter G. Phillips,1999,0,0,0,0,0,0,0
Thomas C. Goldstein,1999,0,0,0,0,0,0,0
Robert Radasevich,1999,0,0,0,0,0,0,0
A. Benjamin Goldgar,1999,0,0,0,0,0,0,0
Lawrence G. Wallace,1999,0,0,0,0,0,0,0
"Frank Cicero, Jr.",1999,0,0,0,0,0,0,0
Daniel A. Small,1999,0,0,0,0,0,0,0
Thomas F. Gede,1999,0,0,0,0,0,0,0
George Waters,1999,0,0,0,0,0,0,0
Robert H. Brownlee,1999,0,0,0,0,0,0,0
"G. Eric Brunstad, Jr.",1999,0,0,0,0,0,0,0
