speaker_name,year,sum_male,sum_female,sum_neutral_female,sum_neutral_male,sum_neutral,ratio_neutral_male,ratio_neutral_female
Randall J. Roske,2003,0,0,0,0,0,0,0
David B. Salmons,2003,0,0,0,0,0,0,0
Jeffrey P. Minear,2003,0,0,0,0,0,0,0
Carter G. Phillips,2003,0,0,0,0,0,0,0
Patrick Lynch,2003,0,0,0,0,0,0,0
Seth P. Waxman,2003,0,0,0,0,0,0,0
Timothy S. Bishop,2003,0,0,0,0,0,0,0
Jeffrey P. Minear,2003,0,0,0,0,0,0,0
Dexter W. Lehtinen,2003,0,0,0,0,0,0,0
R. Ted Cruz,2003,0,0,0,0,0,0,0
Susan Finkelstein Zinn,2003,0,0,0,0,0,0,0
Michael R. Dreeben,2003,0,0,0,0,0,0,0
Seth P. Waxman,2003,0,0,0,0,0,0,0
Thomas G. Hungar,2003,0,0,0,0,0,0,0
Jonathan S. Franklin,2003,0,0,0,0,0,0,0
Dan Himmelfarb,2003,0,0,0,0,0,0,0
Michael G. Frick,2003,0,0,0,0,0,0,0
"Donald B. Verrilli, Jr.",2003,0,0,0,0,0,0,0
Richard G. Taranto,2003,0,0,0,0,0,0,0
Theodore B. Olson,2003,0,0,0,0,0,0,0
Lisa S. Blatt,2003,0,0,0,0,0,0,0
Thomas C. Goldstein,2003,0,0,0,0,0,0,0
Paul D. Clement,2003,0,0,0,0,0,0,0
Stephen G. Montoya,2003,0,0,0,0,0,0,0
Carter G. Phillips,2003,0,0,0,0,0,0,0
Jeffrey A. Lamken,2003,0,0,0,0,0,0,0
Abraham S. Alter,2003,0,0,0,0,0,0,0
Gary E. Bair,2003,0,0,0,0,0,0,0
Sri Srinivasan,2003,0,0,0,0,0,0,0
Nancy S. Forster,2003,0,0,0,0,0,0,0
Richard A. Cordray,2003,0,0,0,0,0,0,0
Vincent J. Kozakiewicz,2003,0,0,0,0,0,0,0
Austin C. Schlick,2003,0,0,0,0,0,0,0
E. King Poor,2003,0,0,0,0,0,0,0
Kent L. Jones,2003,0,0,0,0,0,0,0
James R. Figliulo,2003,0,0,0,0,0,0,0
Gena A. Bunn,2003,0,0,0,0,0,0,0
George H. Kendall,2003,0,0,0,0,0,0,0
Barbara B. McDowell,2003,0,0,0,0,0,0,0
Sylvia Antalis Goldsmith,2003,0,0,0,0,0,0,0
Seth P. Waxman,2003,0,0,0,0,0,0,0
John P. Elwood,2003,0,0,0,0,0,0,0
Thomas C. Goldstein,2003,0,0,0,0,0,0,0
David M. Gossett,2003,0,0,0,0,0,0,0
Thomas L. Casey,2003,0,0,0,0,0,0,0
Corinne A. Beckwith,2003,0,0,0,0,0,0,0
Steven C. Sherman,2003,0,0,0,0,0,0,0
Jeffrey L. Fisher,2003,0,0,0,0,0,0,0
Michael R. Dreeben,2003,0,0,0,0,0,0,0
Patricia A. Millett,2003,0,0,0,0,0,0,0
James Hamilton,2003,0,0,0,0,0,0,0
Allan J. Favish,2003,0,0,0,0,0,0,0
Dennis Balske,2003,0,0,0,0,0,0,0
Hardy Myers,2003,0,0,0,0,0,0,0
Edwin S. Kneedler,2003,0,0,0,0,0,0,0
Paul M. Smith,2003,0,0,0,0,0,0,0
Paul D. Clement,2003,0,0,0,0,0,0,0
Jennifer Martinez,2003,0,0,0,0,0,0,0
Edwin S. Kneedler,2003,0,0,0,0,0,0,0
Alexander F. Reichert,2003,0,0,0,0,0,0,0
Scott P. Cooper,2003,0,0,0,0,0,0,0
E. Randol Schoenberg,2003,0,0,0,0,0,0,0
Thomas G. Hungar,2003,0,0,0,0,0,0,0
Myra D Mossman,2003,0,0,0,0,0,0,0
Dan Himmelfarb,2003,0,0,0,0,0,0,0
Ann E. Beeson,2003,0,0,0,0,0,0,0
Theodore B. Olson,2003,0,0,0,0,0,0,0
Lisa M. Bassis,2003,0,0,0,0,0,0,0
Theodore B. Olson,2003,0,0,0,0,0,0,0
John J. Gibbons,2003,0,0,0,0,0,0,0
Paul D. Clement,2003,0,0,0,0,0,0,0
Carter G. Phillips,2003,0,0,0,0,0,0,0
Paul L. Hoffman,2003,0,0,0,0,0,0,0
Edwin S. Kneedler,2003,0,0,0,0,0,0,0
Jonathan Weissglass,2003,0,0,0,0,0,0,0
Andrew Stuart Birrell,2003,0,0,0,0,0,0,0
Michael R. Dreeben,2003,0,0,0,0,0,0,0
Alan B. Morrison,2003,0,0,0,0,0,0,0
Theodore B. Olson,2003,0,0,0,0,0,0,0
Paul J. Orfanedes,2003,0,0,0,0,0,0,0
"Frank W. Dunham, Jr.",2003,0,0,0,0,0,0,0
Gregory G. Garre,2003,0,0,0,0,0,0,0
Ken Murray,2003,0,0,0,0,0,0,0
John Pressley Todd,2003,0,0,0,0,0,0,0
James A. Feldman,2003,0,0,0,0,0,0,0
Sri Srinivasan,2003,0,0,0,0,0,0,0
Conrad Hafen,2003,0,0,0,0,0,0,0
Robert E. Dolan,2003,0,0,0,0,0,0,0
Stephen B. Bedrick,2003,0,0,0,0,0,0,0
Seth K. Schalit,2003,0,0,0,0,0,0,0
Paul D. Clement,2003,0,0,0,0,0,0,0
"Frank W. Dunham, Jr.",2003,0,0,0,0,0,0,0
Kevin C. Newsom,2003,0,0,0,0,0,0,0
Bryan A. Stevenson,2003,0,0,0,0,0,0,0
"R. Hewitt Pate, III",2003,0,0,0,0,0,0,0
Stephen M. Shapiro,2003,0,0,0,0,0,0,0
Thomas C. Goldstein,2003,0,0,0,0,0,0,0
Donald A. Bailey,2003,0,0,0,0,0,0,0
"John George Knorr, III",2003,0,0,0,0,0,0,0
Irving L. Gornstein,2003,0,0,0,0,0,0,0
Andrew H. Baida,2003,0,0,0,0,0,0,0
Stuart A. Raphael,2003,0,0,0,0,0,0,0
Carter G. Phillips,2004,0,0,0,0,0,0,0
Thomas G. Hungar,2004,0,0,0,0,0,0,0
David C. Frederick,2004,0,0,0,0,0,0,0
Jeffrey P. Minear,2004,0,0,0,0,0,0,0
William Bradford Reynolds,2004,0,0,0,0,0,0,0
Richard O. Faulk,2004,0,0,0,0,0,0,0
Lloyd B. Miller,2004,0,0,0,0,0,0,0
Sri Srinivasan,2004,0,0,0,0,0,0,0
Kenneth L. Thomas,2004,0,0,0,0,0,0,0
"Walter E. Dellinger, III",2004,0,0,0,0,0,0,0
Irving L. Gornstein,2004,0,0,0,0,0,0,0
David A. Moran,2004,0,0,0,0,0,0,0
Bernard E. Restuccia,2004,0,0,0,0,0,0,0
Gene C. Schaerr,2004,0,0,0,0,0,0,0
Andrea N. Cortina,2004,0,0,0,0,0,0,0
Dean R. Gits,2004,0,0,0,0,0,0,0
Thomas L. Casey,2004,0,0,0,0,0,0,0
Clint Bolick,2004,0,0,0,0,0,0,0
Kathleen M. Sullivan,2004,0,0,0,0,0,0,0
Caitlin J. Halligan,2004,0,0,0,0,0,0,0
Glen D. Nager,2004,0,0,0,0,0,0,0
Thomas C. Goldstein,2004,0,0,0,0,0,0,0
Edwin S. Kneedler,2004,0,0,0,0,0,0,0
Laurence H. Tribe,2004,0,0,0,0,0,0,0
Gregory G. Garre,2004,0,0,0,0,0,0,0
Henry J. Boynton,2004,0,0,0,0,0,0,0
Malcolm L. Stewart,2004,0,0,0,0,0,0,0
James H. Hanson,2004,0,0,0,0,0,0,0
"Robert Digges, Jr.",2004,0,0,0,0,0,0,0
Henry J. Boynton,2004,0,0,0,0,0,0,0
Malcolm L. Stewart,2004,0,0,0,0,0,0,0
James H. Hanson,2004,0,0,0,0,0,0,0
"Robert Digges, Jr.",2004,0,0,0,0,0,0,0
E. Joshua Rosenkranz,2004,0,0,0,0,0,0,0
Daryl Joseffer,2004,0,0,0,0,0,0,0
Mauricio A. Flores,2004,0,0,0,0,0,0,0
Jonathan L. Marcus,2004,0,0,0,0,0,0,0
Sharon C. Samek,2004,0,0,0,0,0,0,0
David B. Salmons,2004,0,0,0,0,0,0,0
David C. Frederick,2004,0,0,0,0,0,0,0
Thomas C. Goldstein,2004,0,0,0,0,0,0,0
Gregory G. Garre,2004,0,0,0,0,0,0,0
Paul D. Clement,2004,0,0,0,0,0,0,0
David J. Burman,2004,0,0,0,0,0,0,0
Pamela S. Karlan,2004,0,0,0,0,0,0,0
Colli C. McKiever,2004,0,0,0,0,0,0,0
Carter G. Phillips,2004,0,0,0,0,0,0,0
Kannon K. Shanmugam,2004,0,0,0,0,0,0,0
Paul L. Hoffman,2004,0,0,0,0,0,0,0
Paul D. Clement,2004,0,0,0,0,0,0,0
Randy E. Barnett,2004,0,0,0,0,0,0,0
Erwin Chemerinsky,2004,0,0,0,0,0,0,0
Jonathan B. Cole,2004,0,0,0,0,0,0,0
Erwin Chemerinsky,2004,0,0,0,0,0,0,0
Paul D. Clement,2004,0,0,0,0,0,0,0
Greg Abbott,2004,0,0,0,0,0,0,0
Jeffrey P. Minear,2004,0,0,0,0,0,0,0
Stuart L. Somach,2004,0,0,0,0,0,0,0
William M. Smiland,2004,0,0,0,0,0,0,0
James A. Feldman,2004,0,0,0,0,0,0,0
Jeffrey A. Lamken,2004,0,0,0,0,0,0,0
Seth P. Waxman,2004,0,0,0,0,0,0,0
Paul D. Clement,2004,0,0,0,0,0,0,0
Mathew D. Staver,2004,0,0,0,0,0,0,0
David A. Friedman,2004,0,0,0,0,0,0,0
Gregory S. Coleman,2004,0,0,0,0,0,0,0
Stephen M. Shapiro,2004,0,0,0,0,0,0,0
Thomas G. Hungar,2004,0,0,0,0,0,0,0
Douglas R. Cole,2004,0,0,0,0,0,0,0
Alan Edward Untereiner,2004,0,0,0,0,0,0,0
John Q. Lewis,2004,0,0,0,0,0,0,0
A. Hugo Blankingship,2004,0,0,0,0,0,0,0
Donald B. Ayer,2004,0,0,0,0,0,0,0
Lisa S. Blatt,2004,0,0,0,0,0,0,0
David C. Frederick,2004,0,0,0,0,0,0,0
Seth P. Waxman,2004,0,0,0,0,0,0,0
Thomas L. Casey,2004,0,0,0,0,0,0,0
David A. Moran,2004,0,0,0,0,0,0,0
Beth S. Brinkmann,2004,0,0,0,0,0,0,0
Michael Machat,2004,0,0,0,0,0,0,0
Patricia A. Millett,2004,0,0,0,0,0,0,0
"Joseph S. Sollers, III",2004,0,0,0,0,0,0,0
Dan Himmelfarb,2004,0,0,0,0,0,0,0
James R. Layton,2004,0,0,0,0,0,0,0
Seth P. Waxman,2004,0,0,0,0,0,0,0
Paul D. Clement,2004,0,0,0,0,0,0,0
Bert H. Deixler,2004,0,0,0,0,0,0,0
Frances T. Grunder,2004,0,0,0,0,0,0,0
Jeffrey J. Keyes,2004,0,0,0,0,0,0,0
Malcolm L. Stewart,2004,0,0,0,0,0,0,0
James B. Comey,2004,0,0,0,0,0,0,0
Randolph Stuart Phillips,2004,0,0,0,0,0,0,0
Maureen A. Hart,2004,0,0,0,0,0,0,0
Laura W. Brill,2004,0,0,0,0,0,0,0
Michael R. Dreeben,2004,0,0,0,0,0,0,0
Paul D. Boas,2004,0,0,0,0,0,0,0
Patricia A. Millett,2004,0,0,0,0,0,0,0
"Frederick E. Connelly, Jr.",2004,0,0,0,0,0,0,0
Lisa S. Blatt,2004,0,0,0,0,0,0,0
David B. Kaplan,2004,0,0,0,0,0,0,0
Malcolm L. Stewart,2004,0,0,0,0,0,0,0
Michael R. Smith,2004,0,0,0,0,0,0,0
Ira S. Sacks,2004,0,0,0,0,0,0,0
Caitlin J. Halligan,2004,0,0,0,0,0,0,0
Cathryn A. Neaves,2004,0,0,0,0,0,0,0
David J. Nathanson,2004,0,0,0,0,0,0,0
Sri Srinivasan,2004,0,0,0,0,0,0,0
Edwin S. Kneedler,2004,0,0,0,0,0,0,0
John S. Mills,2004,0,0,0,0,0,0,0
Christine S. Dahl,2004,0,0,0,0,0,0,0
James R. Carty,2004,0,0,0,0,0,0,0
David B. Salmons,2004,0,0,0,0,0,0,0
Philip N. Jones,2004,0,0,0,0,0,0,0
Roberto A. Lange,2004,0,0,0,0,0,0,0
Lawrence E. Long,2004,0,0,0,0,0,0,0
John P. Elwood,2004,0,0,0,0,0,0,0
Linda J. Thompson,2004,0,0,0,0,0,0,0
Ralph E. Meczyk,2004,0,0,0,0,0,0,0
Lisa Madigan,2004,0,0,0,0,0,0,0
Christopher A. Wray,2004,0,0,0,0,0,0,0
Edward H. Tillinghast,2004,0,0,0,0,0,0,0
Irving L. Gornstein,2004,0,0,0,0,0,0,0
George S. Lemieux,2004,0,0,0,0,0,0,0
Patrick J. Coughlin,2004,0,0,0,0,0,0,0
William F. Sullivan,2004,0,0,0,0,0,0,0
Thomas G. Hungar,2004,0,0,0,0,0,0,0
Ronnie M. Mitchell,2004,0,0,0,0,0,0,0
"James M. Hood, III",2004,0,0,0,0,0,0,0
Ronald Eisenberg,2004,0,0,0,0,0,0,0
David Wycoff,2004,0,0,0,0,0,0,0
Gena A. Bunn,2004,0,0,0,0,0,0,0
Seth P. Waxman,2004,0,0,0,0,0,0,0
Courtland L. Reichman,2004,0,0,0,0,0,0,0
Dan Himmelfarb,2004,0,0,0,0,0,0,0
Paul D. Clement,2004,0,0,0,0,0,0,0
Douglas R. Cole,2004,0,0,0,0,0,0,0
David A. Goldberger,2004,0,0,0,0,0,0,0
Paul D. Clement,2004,0,0,0,0,0,0,0
T. Christopher Kelly,2004,0,0,0,0,0,0,0
Rosemary Curran Scapicchio,2004,0,0,0,0,0,0,0
Scott G. Bullock,2004,0,0,0,0,0,0,0
Wesley W. Horton,2004,0,0,0,0,0,0,0
Mark J. Bennett,2004,0,0,0,0,0,0,0
Edwin S. Kneedler,2004,0,0,0,0,0,0,0
Craig E. Stewart,2004,0,0,0,0,0,0,0
"Christopher G. Browning, Jr.",2004,0,0,0,0,0,0,0
Mark T. Hurt,2004,0,0,0,0,0,0,0
Douglas Hallward-Driemeier,2004,0,0,0,0,0,0,0
Paul T. Cappuccio,2004,0,0,0,0,0,0,0
Thomas G. Hungar,2004,0,0,0,0,0,0,0
Thomas C. Goldstein,2004,0,0,0,0,0,0,0
John C. Eastman,2004,0,0,0,0,0,0,0
John P. Elwood,2004,0,0,0,0,0,0,0
Brian J. Reichel,2004,0,0,0,0,0,0,0
Paul F. Utrecht,2004,0,0,0,0,0,0,0
Seth P. Waxman,2004,0,0,0,0,0,0,0
Maureen E. Mahoney,2004,0,0,0,0,0,0,0
Michael R. Dreeben,2004,0,0,0,0,0,0,0
"Wellon B. Poe, Jr.",2004,0,0,0,0,0,0,0
James C. Linger,2004,0,0,0,0,0,0,0
Paul D. Clement,2004,0,0,0,0,0,0,0
"Donald B. Verrilli, Jr.",2004,0,0,0,0,0,0,0
Richard G. Taranto,2004,0,0,0,0,0,0,0
Deanne E. Maynard,2004,0,0,0,0,0,0,0
James M. Petro,2004,0,0,0,0,0,0,0
Jules Lobel,2004,0,0,0,0,0,0,0
Matthew M. Shors,2004,0,0,0,0,0,0,0
Jennifer L. Smith,2004,0,0,0,0,0,0,0
Janice L. Bergmann,2004,0,0,0,0,0,0,0
James A. Feldman,2004,0,0,0,0,0,0,0
Cheryl C. Nield,2004,0,0,0,0,0,0,0
Rosemary E. Percival,2004,0,0,0,0,0,0,0
Amy Zapp,2004,0,0,0,0,0,0,0
Billy H. Nolas,2004,0,0,0,0,0,0,0
Matthew K.M. Chan,2004,0,0,0,0,0,0,0
Lisa S. Blatt,2004,0,0,0,0,0,0,0
David M. Porter,2004,0,0,0,0,0,0,0
R. Ted Cruz,2004,0,0,0,0,0,0,0
Michael R. Dreeben,2004,0,0,0,0,0,0,0
Donald Francis Donovan,2004,0,0,0,0,0,0,0
Eric H. Zagrans,2004,0,0,0,0,0,0,0
Irving L. Gornstein,2004,0,0,0,0,0,0,0
Michael C. Walton,2004,0,0,0,0,0,0,0
Douglas R. Cole,2004,0,0,0,0,0,0,0
Alan M. Freedman,2004,0,0,0,0,0,0,0
Christopher M. Kise,2004,0,0,0,0,0,0,0
Patricia A. Millett,2004,0,0,0,0,0,0,0
Paul M. Rashkind,2004,0,0,0,0,0,0,0
Stephen B. Bedrick,2004,0,0,0,0,0,0,0
Seth K. Schalit,2004,0,0,0,0,0,0,0
Carter G. Phillips,2004,0,0,0,0,0,0,0
Eugene E. Stearns,2004,0,0,0,0,0,0,0
"Robert A. Long, Jr.",2004,0,0,0,0,0,0,0
Donald B. Ayer,2004,0,0,0,0,0,0,0
David W. Robbins,2004,0,0,0,0,0,0,0
James A. Feldman,2004,0,0,0,0,0,0,0
John B. Draper,2004,0,0,0,0,0,0,0
Jeffrey P. Minear,2004,0,0,0,0,0,0,0
Jonathan S. Franklin,2004,0,0,0,0,0,0,0
Carter G. Phillips,2005,0,0,0,0,0,0,0
Carter G. Phillips,2005,0,0,0,0,0,0,0
Irving L. Gornstein,2005,0,0,0,0,0,0,0
Irving L. Gornstein,2005,0,0,0,0,0,0,0
Thomas C. Goldstein,2005,0,0,0,0,0,0,0
Thomas C. Goldstein,2005,0,0,0,0,0,0,0
Richard A. De Palma,2005,0,0,0,0,0,0,0
Paul D. Clement,2005,0,0,0,0,0,0,0
Timothy A. Stoepker,2005,0,0,0,0,0,0,0
M. Reed Hopper,2005,0,0,0,0,0,0,0
William E. Thro,2005,0,0,0,0,0,0,0
Mark T. Stancil,2005,0,0,0,0,0,0,0
Peter Gartlan,2005,0,0,0,0,0,0,0
Gregory G. Garre,2005,0,0,0,0,0,0,0
Mary H. Williams,2005,0,0,0,0,0,0,0
Paula K. Smith,2005,0,0,0,0,0,0,0
Michael R. Dreeben,2005,0,0,0,0,0,0,0
Thomas C. Goldstein,2005,0,0,0,0,0,0,0
Edwin S. Kneedler,2005,0,0,0,0,0,0,0
Nancy Hollander,2005,0,0,0,0,0,0,0
Pamela S. Karlan,2005,0,0,0,0,0,0,0
Malcolm L. Stewart,2005,0,0,0,0,0,0,0
Jan T. Chilton,2005,0,0,0,0,0,0,0
Samuel H. Heldman,2005,0,0,0,0,0,0,0
Jennifer E. Dalven,2005,0,0,0,0,0,0,0
Kelly A. Ayotte,2005,0,0,0,0,0,0,0
Paul D. Clement,2005,0,0,0,0,0,0,0
E. Joshua Rosenkranz,2005,0,0,0,0,0,0,0
Phill Kline,2005,0,0,0,0,0,0,0
Rebecca E. Woodman,2005,0,0,0,0,0,0,0
Sri Srinivasan,2005,0,0,0,0,0,0,0
Andrew L. Frey,2005,0,0,0,0,0,0,0
James R. Gilreath,2005,0,0,0,0,0,0,0
Paul D. Clement,2005,0,0,0,0,0,0,0
Gregory A. Castanias,2005,0,0,0,0,0,0,0
Gregory Andrew Castanias,2005,0,0,0,0,0,0,0
Samuel R. Bagenstos,2005,0,0,0,0,0,0,0
Gene C. Schaerr,2005,0,0,0,0,0,0,0
Erwin Chemerinsky,2005,0,0,0,0,0,0,0
Lisa S. Blatt,2005,0,0,0,0,0,0,0
Alan Edward Untereiner,2005,0,0,0,0,0,0,0
"F. Paul Bland, Jr.",2005,0,0,0,0,0,0,0
Christopher Landau,2005,0,0,0,0,0,0,0
J. Brett Busby,2005,0,0,0,0,0,0,0
Christopher M. Kise,2005,0,0,0,0,0,0,0
Douglas Hallward-Driemeier,2005,0,0,0,0,0,0,0
Donald John Zelenka,2005,0,0,0,0,0,0,0
John H. Blume,2005,0,0,0,0,0,0,0
Steffen N. Johnson,2005,0,0,0,0,0,0,0
Andrew J. Pincus,2005,0,0,0,0,0,0,0
Kathleen M. Sullivan,2005,0,0,0,0,0,0,0
Thomas G. Hungar,2005,0,0,0,0,0,0,0
Allison M. Zieve,2005,0,0,0,0,0,0,0
Douglas Hallward-Driemeier,2005,0,0,0,0,0,0,0
Timothy A. Baughman,2005,0,0,0,0,0,0,0
David A. Moran,2005,0,0,0,0,0,0,0
David B. Salmons,2005,0,0,0,0,0,0,0
Jay B. Kasner,2005,0,0,0,0,0,0,0
Thomas G. Hungar,2005,0,0,0,0,0,0,0
David C. Frederick,2005,0,0,0,0,0,0,0
Sri Srinivasan,2005,0,0,0,0,0,0,0
David M. Gossett,2005,0,0,0,0,0,0,0
Michael R. Dreeben,2005,0,0,0,0,0,0,0
Mark J. Reichel,2005,0,0,0,0,0,0,0
Michael T. Kirkpatrick,2005,0,0,0,0,0,0,0
Carter G. Phillips,2005,0,0,0,0,0,0,0
James A. Feldman,2005,0,0,0,0,0,0,0
Edwin S. Kneedler,2005,0,0,0,0,0,0,0
Patrick F. McCartan,2005,0,0,0,0,0,0,0
Herbert David Blair,2005,0,0,0,0,0,0,0
Patricia A. Millett,2005,0,0,0,0,0,0,0
"William J. Kayatta, Jr.",2005,0,0,0,0,0,0,0
Jeffrey P. Minear,2005,0,0,0,0,0,0,0
G. Steven Rowe,2005,0,0,0,0,0,0,0
"James Bopp, Jr.",2005,0,0,0,0,0,0,0
William H. Sorrell,2005,0,0,0,0,0,0,0
Brenda Wright,2005,0,0,0,0,0,0,0
"G. Eric Brunstad, Jr.",2005,0,0,0,0,0,0,0
Deanne E. Maynard,2005,0,0,0,0,0,0,0
Kent L. Richland,2005,0,0,0,0,0,0,0
Paul D. Clement,2005,0,0,0,0,0,0,0
"James Bopp, Jr.",2005,0,0,0,0,0,0,0
Miguel A. Estrada,2005,0,0,0,0,0,0,0
R. Jonathan Hart,2005,0,0,0,0,0,0,0
Dan Himmelfarb,2005,0,0,0,0,0,0,0
Peter Enrich,2005,0,0,0,0,0,0,0
Douglas R. Cole,2005,0,0,0,0,0,0,0
Theodore B. Olson,2005,0,0,0,0,0,0,0
Jere Krakoff,2005,0,0,0,0,0,0,0
Jonathan L. Marcus,2005,0,0,0,0,0,0,0
Louis J. Rovelli,2005,0,0,0,0,0,0,0
Kenneth W. Ravenell,2005,0,0,0,0,0,0,0
James A. Feldman,2005,0,0,0,0,0,0,0
Kathryn Grill Graeff,2005,0,0,0,0,0,0,0
Kevin P. Roddy,2005,0,0,0,0,0,0,0
David C. Frederick,2005,0,0,0,0,0,0,0
Bonnie I. Robin-Vergeer,2005,0,0,0,0,0,0,0
Dan Himmelfarb,2005,0,0,0,0,0,0,0
Cindy S. Lee,2005,0,0,0,0,0,0,0
Mark R. Drozdowski,2005,0,0,0,0,0,0,0
William W. Lockyer,2005,0,0,0,0,0,0,0
Maureen E. Mahoney,2005,0,0,0,0,0,0,0
Allen Lichtenstein,2005,0,0,0,0,0,0,0
Burck Bailey,2005,0,0,0,0,0,0,0
Malcolm L. Stewart,2005,0,0,0,0,0,0,0
Robert A. Schroeder,2005,0,0,0,0,0,0,0
Miguel A. Estrada,2005,0,0,0,0,0,0,0
Thomas G. Hungar,2005,0,0,0,0,0,0,0
Jonathan S. Franklin,2005,0,0,0,0,0,0,0
Paul D. Clement,2005,0,0,0,0,0,0,0
Robert Moorehead Atkinson,2005,0,0,0,0,0,0,0
Edwin S. Kneedler,2005,0,0,0,0,0,0,0
Theodore B. Olson,2005,0,0,0,0,0,0,0
Ian H. Gershengorn,2005,0,0,0,0,0,0,0
David B. Salmons,2005,0,0,0,0,0,0,0
William H. Hurd,2005,0,0,0,0,0,0,0
Gregory G. Garre,2005,0,0,0,0,0,0,0
Gregory P. Joseph,2005,0,0,0,0,0,0,0
David C. Frederick,2005,0,0,0,0,0,0,0
Catherine Baker Chatman,2005,0,0,0,0,0,0,0
Catherine Baker Chatman,2005,0,0,0,0,0,0,0
Reginald Chavis,2005,0,0,0,0,0,0,0
Peter K. Stris,2005,0,0,0,0,0,0,0
Peter K. Stris,2005,0,0,0,0,0,0,0
Thomas G. Cotter,2005,0,0,0,0,0,0,0
Deanne E. Maynard,2005,0,0,0,0,0,0,0
Jeffrey P. Minear,2005,0,0,0,0,0,0,0
Glen D. Nager,2005,0,0,0,0,0,0,0
Joseph Michaelangelo Alioto,2005,0,0,0,0,0,0,0
Patricia A. Millett,2005,0,0,0,0,0,0,0
James R. Radmore,2005,0,0,0,0,0,0,0
Lisa S. Blatt,2005,0,0,0,0,0,0,0
Brian Wolfman,2005,0,0,0,0,0,0,0
William E. Thro,2005,0,0,0,0,0,0,0
Kim Martin Lewis,2005,0,0,0,0,0,0,0
Stephen M. Kissinger,2005,0,0,0,0,0,0,0
Jennifer L. Smith,2005,0,0,0,0,0,0,0
"Roy T. Englert, Jr.",2005,0,0,0,0,0,0,0
Carter G. Phillips,2005,0,0,0,0,0,0,0
Thomas G. Hungar,2005,0,0,0,0,0,0,0
Kannon K. Shanmugam,2005,0,0,0,0,0,0,0
Mary H. Williams,2005,0,0,0,0,0,0,0
Richard L. Wolf,2005,0,0,0,0,0,0,0
Brett John Prendergast,2005,0,0,0,0,0,0,0
Jeffrey A. Schwartz,2005,0,0,0,0,0,0,0
Daryl Joseffer,2005,0,0,0,0,0,0,0
Jonathan L. Marcus,2005,0,0,0,0,0,0,0
Ronald E. Niver,2005,0,0,0,0,0,0,0
"Robert A. Long, Jr.",2005,0,0,0,0,0,0,0
Jane N. Kirkland,2005,0,0,0,0,0,0,0
Nina Rivkind,2005,0,0,0,0,0,0,0
"Donald B. Verrilli, Jr.",2005,0,0,0,0,0,0,0
"Donald B. Verrilli, Jr.",2005,0,0,0,0,0,0,0
Paul Farrell Strain,2005,0,0,0,0,0,0,0
Paul Farrell Strain,2005,0,0,0,0,0,0,0
Jeffrey P. Minear,2005,0,0,0,0,0,0,0
Carter G. Phillips,2005,0,0,0,0,0,0,0
Seth P. Waxman,2005,0,0,0,0,0,0,0
Raymond G. Kuntz,2005,0,0,0,0,0,0,0
David C. Vladeck,2005,0,0,0,0,0,0,0
David B. Salmons,2005,0,0,0,0,0,0,0
Neal Kumar Katyal,2005,0,0,0,0,0,0,0
Paul D. Clement,2005,0,0,0,0,0,0,0
Thomas J. Stock,2005,0,0,0,0,0,0,0
Sri Srinivasan,2005,0,0,0,0,0,0,0
Anthony F. Shelley,2005,0,0,0,0,0,0,0
R. Ted Cruz,2005,0,0,0,0,0,0,0
Nina Perales,2005,0,0,0,0,0,0,0
Paul M. Smith,2005,0,0,0,0,0,0,0
Gregory G. Garre,2005,0,0,0,0,0,0,0
Carter G. Phillips,2005,0,0,0,0,0,0,0
Donald A. Donati,2005,0,0,0,0,0,0,0
Gregory G. Garre,2005,0,0,0,0,0,0,0
Gregory S. Coleman,2005,0,0,0,0,0,0,0
Peter K. Stris,2005,0,0,0,0,0,0,0
James A. Feldman,2005,0,0,0,0,0,0,0
Jeffrey L. Fisher,2005,0,0,0,0,0,0,0
Michael R. Dreeben,2005,0,0,0,0,0,0,0
Mark A. Perry,2005,0,0,0,0,0,0,0
David C. Frederick,2005,0,0,0,0,0,0,0
Jennifer G. Perkell,2005,0,0,0,0,0,0,0
Dan Himmelfarb,2005,0,0,0,0,0,0,0
Meir Feder,2005,0,0,0,0,0,0,0
Carter G. Phillips,2005,0,0,0,0,0,0,0
Malcolm L. Stewart,2005,0,0,0,0,0,0,0
Howard W. Foster,2005,0,0,0,0,0,0,0
Paul J. McNulty,2005,0,0,0,0,0,0,0
Michael Patrick Studebaker,2005,0,0,0,0,0,0,0
Jeffrey S. Gray,2005,0,0,0,0,0,0,0
Jeffrey L. Fisher,2005,0,0,0,0,0,0,0
Michael R. Dreeben,2005,0,0,0,0,0,0,0
James M. Whisman,2005,0,0,0,0,0,0,0
Richard D. Friedman,2005,0,0,0,0,0,0,0
Thomas M. Fisher,2005,0,0,0,0,0,0,0
Irving L. Gornstein,2005,0,0,0,0,0,0,0
Paul D. Clement,2005,0,0,0,0,0,0,0
Randall M. Howe,2005,0,0,0,0,0,0,0
David I. Goldberg,2005,0,0,0,0,0,0,0
Edward Scott Zas,2005,0,0,0,0,0,0,0
Daryl Joseffer,2005,0,0,0,0,0,0,0
J. Craig Jett,2005,0,0,0,0,0,0,0
Irving L. Gornstein,2005,0,0,0,0,0,0,0
Gregory C. Link,2005,0,0,0,0,0,0,0
James M. Whisman,2005,0,0,0,0,0,0,0
Carolyn M. Snurkowski,2005,0,0,0,0,0,0,0
