,speaker_name,year,sum_male,sum_female,sum_neutral_female,sum_neutral_male,sum_neutral,ratio_neutral_male,ratio_neutral_female,ratio_male,ratio_female
59,Ruth Bader Ginsburg,2007,9,2,157,238,2011,0.111278229,0.063102281,0.00445103857567,0.000989119683482
60,Stephen G. Breyer,2007,63,9,430,674,5669,0.079452904,0.044354716,0.010973697962,0.00156767113743
61,"John G. Roberts, Jr.",2007,17,2,203,319,2626,0.092880941,0.057900353,0.00642722117202,0.000756143667297
62,"Samuel A. Alito, Jr.",2007,174,25,354,472,4030,0.069292452,0.02342911,0.0411444786001,0.00591156301726
63,Clarence Thomas,2007,0,0,0,0,0,0.0,0.0,0.0,0.0
64,David H. Souter,2008,21,1,373,587,4629,0.023358181,0.011323291,0.00451515803053,0.000215007525263
65,Antonin Scalia,2008,87,3,606,969,7690,0.037519264,0.023420878,0.0111825192802,0.000385604113111
66,John Paul Stevens,2008,53,2,661,1086,8228,0.021407741,0.010031283,0.00639864783291,0.000241458408789
67,Anthony M. Kennedy,2008,32,6,395,597,5026,0.024038546,0.011172836,0.00631911532385,0.00118483412322
68,Ruth Bader Ginsburg,2008,38,4,545,868,6901,0.06396192,0.033716337,0.00547313841279,0.000576119832925
69,Stephen G. Breyer,2008,108,3,729,1129,9231,0.029093879,0.027253277,0.0115606936416,0.000321130378934
70,"John G. Roberts, Jr.",2008,49,18,595,961,7960,0.027710437,0.015972394,0.0061043976579,0.0022424317927
71,"Samuel A. Alito, Jr.",2008,18,0,201,343,2463,0.018221918,0.010346452,0.00725513905683,0.0
72,Clarence Thomas,2008,0,0,0,0,0,0.0,0.0,0.0,0.0
73,Sonia Sotomayor,2008,0,0,0,0,0,0.0,0.0,0.0,0.0
74,Antonin Scalia,2009,23,2,151,223,1766,0.080926821,0.035580163,0.0128419877164,0.00111669458403
75,John Paul Stevens,2009,8,1,150,199,1670,0.090760098,0.041195322,0.00476474091721,0.000595592614652
76,Anthony M. Kennedy,2009,16,0,115,201,1683,0.097355522,0.08977854,0.00941730429665,0.0
77,Ruth Bader Ginsburg,2009,34,22,206,338,2677,0.101607422,0.050981077,0.0124405415295,0.00804976216612
78,Stephen G. Breyer,2009,36,0,195,319,2620,0.048545105,0.050730587,0.0135542168675,0.0
79,"John G. Roberts, Jr.",2009,44,4,225,336,2835,0.064573095,0.032512593,0.0152618799861,0.0013874436351
80,"Samuel A. Alito, Jr.",2009,30,0,154,227,1777,0.070903946,0.035266387,0.016602102933,0.0
81,Sonia Sotomayor,2009,14,4,181,301,2347,0.05537463,0.026977623,0.00591966173362,0.00169133192389
82,Clarence Thomas,2009,0,0,0,0,0,0.0,0.0,0.0,0.0
83,Antonin Scalia,2010,20,4,178,270,2222,0.05849325,0.029125491,0.00890471950134,0.00178094390027
84,Anthony M. Kennedy,2010,16,3,181,303,2337,0.071586559,0.041634958,0.00679117147708,0.00127334465195
85,Ruth Bader Ginsburg,2010,27,6,177,295,2367,0.104406381,0.047286478,0.01125,0.0025
86,Stephen G. Breyer,2010,41,6,354,521,4205,0.071720215,0.036790378,0.00964252116651,0.00141110065851
87,"John G. Roberts, Jr.",2010,7,4,208,325,2562,0.06991405,0.036701349,0.00272055965799,0.00155460551885
88,"Samuel A. Alito, Jr.",2010,13,6,122,178,1485,0.073248181,0.036436711,0.00864361702128,0.00398936170213
89,Sonia Sotomayor,2010,35,7,184,321,2499,0.075873923,0.037995639,0.0137741046832,0.00275482093664
90,Elena Kagan,2010,9,0,62,107,812,0.097749143,0.058158937,0.0109622411693,0.0
91,Clarence Thomas,2010,0,0,0,0,0,0.0,0.0,0.0,0.0
92,Antonin Scalia,2011,52,6,224,347,2832,0.071850243,0.056562317,0.0179930795848,0.00207612456747
93,Anthony M. Kennedy,2011,12,5,99,166,1358,0.069909636,0.04085455,0.00872727272727,0.00363636363636
94,Ruth Bader Ginsburg,2011,37,4,168,274,2190,0.093211122,0.040982338,0.0165844912595,0.001792917974
95,Stephen G. Breyer,2011,44,4,169,249,2063,0.076461065,0.037276263,0.0208432022738,0.00189483657035
96,"John G. Roberts, Jr.",2011,61,5,253,399,3214,0.078070276,0.041405569,0.0185975609756,0.0015243902439
97,"Samuel A. Alito, Jr.",2011,49,2,152,219,1843,0.066268143,0.040649502,0.0258711721225,0.00105596620908
98,Sonia Sotomayor,2011,19,9,133,216,1690,0.076208261,0.037802733,0.011059371362,0.00523864959255
99,Elena Kagan,2011,27,13,192,281,2235,0.067979932,0.048837616,0.0118681318681,0.00571428571429
100,Clarence Thomas,2011,0,0,0,0,0,0.0,0.0,0.0,0.0
101,Antonin Scalia,2012,20,1,172,294,2248,0.061404182,0.033459671,0.00881445570736,0.000440722785368
102,Anthony M. Kennedy,2012,14,0,166,255,1927,0.098897228,0.043489108,0.00721277691911,0.0
103,Ruth Bader Ginsburg,2012,21,1,189,309,2405,0.091364937,0.054719929,0.00865265760198,0.00041203131438
104,Stephen G. Breyer,2012,53,4,315,479,3870,0.060017581,0.030755694,0.013496307614,0.00101858925388
105,"John G. Roberts, Jr.",2012,23,6,184,302,2453,0.066191386,0.035071709,0.00926672038678,0.00241740531829
106,"Samuel A. Alito, Jr.",2012,22,2,116,199,1558,0.077897476,0.038474124,0.0139064475348,0.00126422250316
107,Sonia Sotomayor,2012,26,2,185,299,2360,0.071745111,0.038544964,0.0108877721943,0.000837520938023
108,Elena Kagan,2012,7,0,77,121,956,0.072000242,0.040218838,0.00726895119418,0.0
109,Clarence Thomas,2012,0,0,0,0,0,0.0,0.0,0.0,0.0
