,speaker_name,year,sum_male,sum_female,sum_neutral_female,sum_neutral_male,sum_neutral,ratio_neutral_male,ratio_neutral_female,ratio_male,ratio_female
82,Edwin S. Kneedler,1998,0,0,0,0,0,0,0,0.0,0.0
83,Van Aaron Hughes,1998,0,0,0,0,0,0,0,0.0,0.0
84,Roy W. McLeese,1998,0,0,0,0,0,0,0,0.0,0.0
85,Javier H. Rubinstein,1998,0,0,0,0,0,0,0,0.0,0.0
86,Javier H. Rubinstein,1998,0,0,0,0,0,0,0,0.0,0.0
87,William J. Kilberg,1998,0,0,0,0,0,0,0,0.0,0.0
88,Stephen R. McAllister,1998,0,0,0,0,0,0,0,0.0,0.0
89,James A. Feldman,1998,0,0,0,0,0,0,0,0.0,0.0
90,Michael W. McConnell,1998,0,0,0,0,0,0,0,0.0,0.0
91,Malcolm L. Stewart,1998,0,0,0,0,0,0,0,0.0,0.0
92,Carter G. Phillips,1998,0,0,0,0,0,0,0,0.0,0.0
93,Kent L. Jones,1998,0,0,0,0,0,0,0,0.0,0.0
94,Mark L. Evans,1998,0,0,0,0,0,0,0,0.0,0.0
95,Charles J. Cooper,1998,0,0,0,0,0,0,0,0.0,0.0
96,William L. Browers,1998,0,0,0,0,0,0,0,0.0,0.0
97,David B. Mote,1998,0,0,0,0,0,0,0,0.0,0.0
98,"James W. Colbert, III",1998,0,0,0,0,0,0,0,0.0,0.0
99,G. Robert Blakey,1998,0,0,0,0,0,0,0,0.0,0.0
100,Lawrence G. Wallace,1998,0,0,0,0,0,0,0,0.0,0.0
101,Jonathan E. Nuechtherlein,1998,0,0,0,0,0,0,0,0.0,0.0
102,Jonathan Nuechterlein,1998,0,0,0,0,0,0,0,0.0,0.0
103,Robert H. Silk,1998,0,0,0,0,0,0,0,0.0,0.0
104,Diane W. Wilson,1998,0,0,0,0,0,0,0,0.0,0.0
105,"Joseph H. Mattingly, III",1998,0,0,0,0,0,0,0,0.0,0.0
106,Carter G. Phillips,1998,0,0,0,0,0,0,0,0.0,0.0
107,James A. Feldman,1998,0,0,0,0,0,0,0,0.0,0.0
108,Edward C. DuMont,1998,0,0,0,0,0,0,0,0.0,0.0
109,Quin Denvir,1998,0,0,0,0,0,0,0,0.0,0.0
110,Kevin J. Keating,1998,0,0,0,0,0,0,0,0.0,0.0
111,Barbara D. Underwood,1998,0,0,0,0,0,0,0,0.0,0.0
112,Donald J. McCauley,1998,0,0,0,0,0,0,0,0.0,0.0
113,David C. Frederick,1998,0,0,0,0,0,0,0,0.0,0.0
114,Steven A. Morley,1998,0,0,0,0,0,0,0,0.0,0.0
115,Michael R. Dreeben,1998,0,0,0,0,0,0,0,0.0,0.0
116,Bridget A. Chambers,1998,0,0,0,0,0,0,0,0.0,0.0
117,Paul Rosenberg,1998,0,0,0,0,0,0,0,0.0,0.0
118,"Bruce J. Ennis, Jr.",1998,0,0,0,0,0,0,0,0.0,0.0
119,David W. Carpenter,1998,0,0,0,0,0,0,0,0.0,0.0
120,William P. Barr,1998,0,0,0,0,0,0,0,0.0,0.0
121,Diane Munns,1998,0,0,0,0,0,0,0,0.0,0.0
122,Laurence H. Tribe,1998,0,0,0,0,0,0,0,0.0,0.0
123,Seth P. Waxman,1998,0,0,0,0,0,0,0,0.0,0.0
124,Barbara D. Underwood,1998,0,0,0,0,0,0,0,0.0,0.0
125,"W. Warren Plowden, Jr.",1998,0,0,0,0,0,0,0,0.0,0.0
126,Verna L. Williams,1998,0,0,0,0,0,0,0,0.0,0.0
127,"William A. Barnett, Jr.",1998,0,0,0,0,0,0,0,0.0,0.0
128,Irving L. Gornstein,1998,0,0,0,0,0,0,0,0.0,0.0
129,Charles A. Edwards,1998,0,0,0,0,0,0,0,0.0,0.0
130,Ray P. McClain,1998,0,0,0,0,0,0,0,0.0,0.0
131,Barbara D. Underwood,1998,0,0,0,0,0,0,0,0.0,0.0
132,Roy W. McLeese,1998,0,0,0,0,0,0,0,0.0,0.0
133,Daniel I. Siegel,1998,0,0,0,0,0,0,0,0.0,0.0
134,Gale Norton,1998,0,0,0,0,0,0,0,0.0,0.0
135,Neil D. O'Toole,1998,0,0,0,0,0,0,0,0.0,0.0
136,Timothy Crooks,1998,0,0,0,0,0,0,0,0.0,0.0
