,year,speaker_name,by_male,by_female,by_male_judge,by_female_judge,by_male_lawyer,by_female_lawyer,by_male_n,by_female_n,by_male_judge_n,by_female_judge_n,by_male_lawyer_n,by_female_lawyer_n
51,2007,Ruth Bader Ginsburg,32,9,8,0,24,9,0.585365853659,0.777777777778,0.636363636364,0.0,0.566666666667,0.888888888889
52,2007,David H. Souter,8,5,1,1,7,4,0.0,0.333333333333,0.0,0.5,0.0,0.333333333333
53,2007,John Paul Stevens,9,2,2,1,7,1,0.0243902439024,0.0,0.0909090909091,0.5,0.0,0.0
54,2007,Stephen G. Breyer,21,5,10,0,11,5,0.317073170732,0.333333333333,0.818181818182,0.0,0.133333333333,0.444444444444
55,2008,"Samuel A. Alito, Jr.",14,1,4,1,10,0,0.0,0.0,0.0,0.25,0.0,0.0
56,2008,Anthony M. Kennedy,21,1,5,0,16,1,0.2,0.0,0.0666666666667,0.0,0.230769230769,0.166666666667
57,2008,"John G. Roberts, Jr.",45,5,9,4,36,1,0.885714285714,0.666666666667,0.333333333333,1.0,1.0,0.166666666667
58,2008,John Paul Stevens,19,3,4,2,15,1,0.142857142857,0.333333333333,0.0,0.5,0.192307692308,0.166666666667
59,2008,Ruth Bader Ginsburg,49,3,19,0,30,3,1.0,0.333333333333,1.0,0.0,0.769230769231,0.5
60,2008,David H. Souter,29,5,7,2,22,3,0.428571428571,0.666666666667,0.2,0.5,0.461538461538,0.5
61,2008,Stephen G. Breyer,30,3,8,2,22,1,0.457142857143,0.333333333333,0.266666666667,0.5,0.461538461538,0.166666666667
62,2008,Antonin Scalia,43,7,8,1,35,6,0.828571428571,1.0,0.266666666667,0.25,0.961538461538,1.0
63,2009,Sonia Sotomayor,50,15,9,4,41,11,0.952380952381,1.0,0.428571428571,0.444444444444,0.97619047619,1.0
64,2009,Stephen G. Breyer,31,8,8,1,23,7,0.5,0.416666666667,0.357142857143,0.111111111111,0.547619047619,0.636363636364
65,2009,"Samuel A. Alito, Jr.",22,3,11,2,11,1,0.285714285714,0.0,0.571428571429,0.222222222222,0.261904761905,0.0909090909091
66,2009,"John G. Roberts, Jr.",25,10,7,2,18,8,0.357142857143,0.583333333333,0.285714285714,0.222222222222,0.428571428571,0.727272727273
67,2009,John Paul Stevens,10,5,3,3,7,2,0.0,0.166666666667,0.0,0.333333333333,0.166666666667,0.181818181818
68,2009,Ruth Bader Ginsburg,41,6,16,0,25,6,0.738095238095,0.25,0.928571428571,0.0,0.595238095238,0.545454545455
69,2009,Anthony M. Kennedy,17,5,3,0,14,5,0.166666666667,0.166666666667,0.0,0.0,0.333333333333,0.454545454545
70,2009,Antonin Scalia,52,9,10,3,42,6,1.0,0.5,0.5,0.333333333333,1.0,0.545454545455
71,2009,Elena Kagan,17,9,17,9,0,0,0.166666666667,0.5,1.0,1.0,0.0,0.0
72,2010,Ruth Bader Ginsburg,20,4,6,1,14,3,0.416666666667,0.166666666667,0.3,0.0,0.461538461538,0.6
73,2010,Stephen G. Breyer,20,2,3,2,17,0,0.416666666667,0.0,0.0,0.125,0.576923076923,0.0
74,2010,Antonin Scalia,31,7,5,4,26,3,0.722222222222,0.416666666667,0.2,0.375,0.923076923077,0.6
75,2010,"John G. Roberts, Jr.",19,14,9,9,10,5,0.388888888889,1.0,0.6,1.0,0.307692307692,1.0
76,2010,Sonia Sotomayor,41,11,13,9,28,2,1.0,0.75,1.0,1.0,1.0,0.4
77,2010,"Samuel A. Alito, Jr.",5,5,3,2,2,3,0.0,0.25,0.0,0.125,0.0,0.6
78,2010,Anthony M. Kennedy,11,2,3,1,8,1,0.166666666667,0.0,0.0,0.0,0.230769230769,0.2
79,2010,Elena Kagan,13,2,9,1,4,1,0.222222222222,0.0,0.6,0.0,0.0769230769231,0.2
80,2011,Elena Kagan,36,11,27,10,9,1,0.488888888889,0.777777777778,1.0,1.0,0.0,0.2
81,2011,"Samuel A. Alito, Jr.",14,5,3,3,11,2,0.0,0.111111111111,0.111111111111,0.0,0.0666666666667,0.4
82,2011,Ruth Bader Ginsburg,22,8,11,4,11,4,0.177777777778,0.444444444444,0.407407407407,0.142857142857,0.0666666666667,0.8
83,2011,Anthony M. Kennedy,14,4,0,4,14,0,0.0,0.0,0.0,0.142857142857,0.166666666667,0.0
84,2011,"John G. Roberts, Jr.",27,10,6,8,21,2,0.288888888889,0.666666666667,0.222222222222,0.714285714286,0.4,0.4
