Year,TextGrid,TierNumber,TierName,useable,
2004,2004_02_1028.TextGrid,1,sandra day oconnor,1,
2004,2004_02_1028.TextGrid,2,david h souter,1,
2004,2004_02_1028.TextGrid,3,antonin scalia,1,
2004,2004_02_1028.TextGrid,4,carter g phillips,1,
2004,2004_02_1028.TextGrid,5,john paul stevens,1,
2004,2004_02_1028.TextGrid,6,thomas g hungar,1,
2004,2004_02_1028.TextGrid,7,anthony kennedy,1,
2004,2004_02_1028.TextGrid,8,david c frederick,1,
2004,2004_02_1028.TextGrid,9,ruth bader ginsburg,1,
2004,2004_02_1028.TextGrid,10,stephen g breyer,1,
2004,2004_02_1028.TextGrid,11,william h rehnquist,1,
2004,2004_02_1192.TextGrid,1,sandra day oconnor,1,
2004,2004_02_1192.TextGrid,2,david h souter,1,
2004,2004_02_1192.TextGrid,3,antonin scalia,1,
2004,2004_02_1192.TextGrid,4,richard o faulk,1,
2004,2004_02_1192.TextGrid,5,john paul stevens,1,
2004,2004_02_1192.TextGrid,6,anthony kennedy,1,
2004,2004_02_1192.TextGrid,7,jeffrey p minear,1,
2004,2004_02_1192.TextGrid,8,unknown,1,
2004,2004_02_1192.TextGrid,9,ruth bader ginsburg,1,
2004,2004_02_1192.TextGrid,10,stephen g breyer,1,
2004,2004_02_1192.TextGrid,11,william h rehnquist,1,
2004,2004_02_1192.TextGrid,12,william bradford reynolds,1,
2004,2004_02_1472.TextGrid,1,sandra day oconnor,1,
2004,2004_02_1472.TextGrid,2,david h souter,1,
2004,2004_02_1472.TextGrid,3,sri srinivasan,1,
2004,2004_02_1472.TextGrid,4,antonin scalia,1,
2004,2004_02_1472.TextGrid,5,john paul stevens,1,
2004,2004_02_1472.TextGrid,6,anthony kennedy,1,
2004,2004_02_1472.TextGrid,7,lloyd b miller,1,
2004,2004_02_1472.TextGrid,8,ruth bader ginsburg,1,
2004,2004_02_1472.TextGrid,9,stephen g breyer,1,
2004,2004_02_1672.TextGrid,1,irving l gornstein,1,
2004,2004_02_1672.TextGrid,2,sandra day oconnor,1,
2004,2004_02_1672.TextGrid,3,david h souter,1,
2004,2004_02_1672.TextGrid,4,antonin scalia,1,
2004,2004_02_1672.TextGrid,5,kevin c newsom,1,
2004,2004_02_1672.TextGrid,6,john paul stevens,1,
2004,2004_02_1672.TextGrid,7,anthony kennedy,1,
2004,2004_02_1672.TextGrid,8,walter e dellinger iii,1,
2004,2004_02_1672.TextGrid,9,unknown,1,
2004,2004_02_1672.TextGrid,10,ruth bader ginsburg,1,
2004,2004_02_1672.TextGrid,11,stephen g breyer,1,
2004,2004_02_1672.TextGrid,12,kenneth l thomas,1,
2004,2004_03_10198.TextGrid,1,gene c schaerr,1,
2004,2004_03_10198.TextGrid,2,sandra day oconnor,1,
2004,2004_03_10198.TextGrid,3,david h souter,1,
2004,2004_03_10198.TextGrid,4,antonin scalia,1,
2004,2004_03_10198.TextGrid,5,david a moran,1,
2004,2004_03_10198.TextGrid,6,bernard e restuccia,1,
2004,2004_03_10198.TextGrid,7,john paul stevens,1,
2004,2004_03_10198.TextGrid,8,anthony kennedy,1,
2004,2004_03_10198.TextGrid,9,ruth bader ginsburg,1,
2004,2004_03_10198.TextGrid,10,stephen g breyer,1,
2004,2004_03_10198.TextGrid,11,william h rehnquist,1,
2004,2004_03_1039.TextGrid,1,sandra day oconnor,1,
2004,2004_03_1039.TextGrid,2,david h souter,1,
2004,2004_03_1039.TextGrid,3,john paul stevens,1,
2004,2004_03_1039.TextGrid,4,andrea n cortina,1,
2004,2004_03_1039.TextGrid,5,anthony kennedy,1,
