Year,TextGrid,TierNumber,TierName,useable,
2003,2003_02_10038.TextGrid,1,sandra day oconnor,1,
2003,2003_02_10038.TextGrid,2,david h souter,1,
2003,2003_02_10038.TextGrid,3,antonin scalia,1,
2003,2003_02_10038.TextGrid,4,robert c owen,1,
2003,2003_02_10038.TextGrid,5,john paul stevens,1,
2003,2003_02_10038.TextGrid,6,anthony kennedy,1,
2003,2003_02_10038.TextGrid,7,edward l marshall,1,
2003,2003_02_10038.TextGrid,8,ruth bader ginsburg,1,
2003,2003_02_10038.TextGrid,9,stephen g breyer,1,
2003,2003_02_10038.TextGrid,10,william h rehnquist,1,
2003,2003_02_1016.TextGrid,1,sandra day oconnor,1,
2003,2003_02_1016.TextGrid,2,david h souter,1,
2003,2003_02_1016.TextGrid,3,antonin scalia,1,
2003,2003_02_1016.TextGrid,4,rebecca j harper,1,
2003,2003_02_1016.TextGrid,5,john paul stevens,1,
2003,2003_02_1016.TextGrid,6,anthony kennedy,1,
2003,2003_02_1016.TextGrid,7,g eric brunstad jr,1,
2003,2003_02_1016.TextGrid,8,david b salmons,1,
2003,2003_02_1016.TextGrid,9,unidentified justice,1,
2003,2003_02_1016.TextGrid,10,ruth bader ginsburg,1,
2003,2003_02_1016.TextGrid,11,stephen g breyer,1,
2003,2003_02_1016.TextGrid,12,william h rehnquist,1,
2003,2003_02_1060.TextGrid,1,sandra day oconnor,1,
2003,2003_02_1060.TextGrid,2,david h souter,1,
2003,2003_02_1060.TextGrid,3,antonin scalia,1,
2003,2003_02_1060.TextGrid,4,patricia a millett,1,
2003,2003_02_1060.TextGrid,5,donald j ramsell,1,
2003,2003_02_1060.TextGrid,6,john paul stevens,1,
2003,2003_02_1060.TextGrid,7,anthony kennedy,1,
2003,2003_02_1060.TextGrid,8,ruth bader ginsburg,1,
2003,2003_02_1060.TextGrid,9,gary feinerman,1,
2003,2003_02_1060.TextGrid,10,unidentified justice,1,
2003,2003_02_1060.TextGrid,11,stephen g breyer,1,
2003,2003_02_1060.TextGrid,12,william h rehnquist,1,
2003,2003_02_1080.TextGrid,1,sandra day oconnor,1,
2003,2003_02_1080.TextGrid,2,paul d clement,1,
2003,2003_02_1080.TextGrid,3,david h souter,1,
2003,2003_02_1080.TextGrid,4,antonin scalia,1,
2003,2003_02_1080.TextGrid,5,john paul stevens,1,
2003,2003_02_1080.TextGrid,6,anthony kennedy,1,
2003,2003_02_1080.TextGrid,7,mark w biggerman,1,
2003,2003_02_1080.TextGrid,8,donald b verrilli,1,
2003,2003_02_1080.TextGrid,9,ruth bader ginsburg,1,
2003,2003_02_1080.TextGrid,10,unidentified justice,1,
2003,2003_02_1080.TextGrid,11,stephen g breyer,1,
2003,2003_02_1080.TextGrid,12,william h rehnquist,1,
2003,2003_02_1183.TextGrid,1,sandra day oconnor,1,
2003,2003_02_1183.TextGrid,2,michael r dreeben,1,
2003,2003_02_1183.TextGrid,3,david h souter,1,
2003,2003_02_1183.TextGrid,4,antonin scalia,1,
2003,2003_02_1183.TextGrid,5,john paul stevens,1,
2003,2003_02_1183.TextGrid,6,jill m wichlens,1,
2003,2003_02_1183.TextGrid,7,anthony kennedy,1,
2003,2003_02_1183.TextGrid,8,unidentified justice,1,
2003,2003_02_1183.TextGrid,9,ruth bader ginsburg,1,
2003,2003_02_1183.TextGrid,10,stephen g breyer,1,
2003,2003_02_1183.TextGrid,11,william h rehnquist,1,
2003,2003_02_1196.TextGrid,1,sandra day oconnor,1,
2003,2003_02_1196.TextGrid,2,gen theodore b olson,1,
2003,2003_02_1196.TextGrid,3,david h souter,1,
2003,2003_02_1196.TextGrid,4,antonin scalia,1,
2003,2003_02_1196.TextGrid,5,john paul stevens,1,
2003,2003_02_1196.TextGrid,6,anthony kennedy,1,
2003,2003_02_1196.TextGrid,7,unidentified justice,1,
2003,2003_02_1196.TextGrid,8,ruth bader ginsburg,1,
2003,2003_02_1196.TextGrid,9,stephen g breyer,1,
2003,2003_02_1196.TextGrid,10,michael k wolensky,1,
2003,2003_02_1196.TextGrid,11,william h rehnquist,1,
2003,2003_02_1205.TextGrid,1,sandra day oconnor,1,
2003,2003_02_1205.TextGrid,2,david h souter,1,
2003,2003_02_1205.TextGrid,3,antonin scalia,1,
2003,2003_02_1205.TextGrid,4,kevin c newsom,1,
2003,2003_02_1205.TextGrid,5,carter g phillips,1,
2003,2003_02_1205.TextGrid,6,john paul stevens,1,
2003,2003_02_1205.TextGrid,7,anthony kennedy,1,
2003,2003_02_1205.TextGrid,8,gregory g garre,1,
2003,2003_02_1205.TextGrid,9,unidentified justice,1,
2003,2003_02_1205.TextGrid,10,h candace gorman,1,
2003,2003_02_1205.TextGrid,11,ruth bader ginsburg,1,
2003,2003_02_1205.TextGrid,12,stephen g breyer,1,
2003,2003_02_1205.TextGrid,13,william h rehnquist,1,
2003,2003_02_1238.TextGrid,1,james a feldman,1,
2003,2003_02_1238.TextGrid,2,sandra day oconnor,1,
2003,2003_02_1238.TextGrid,3,david h souter,1,
2003,2003_02_1238.TextGrid,4,antonin scalia,1,
2003,2003_02_1238.TextGrid,5,ronald molteni,1,
2003,2003_02_1238.TextGrid,6,john paul stevens,1,
2003,2003_02_1238.TextGrid,7,anthony kennedy,1,
2003,2003_02_1238.TextGrid,8,david a strauss,1,
2003,2003_02_1238.TextGrid,9,unidentified justice,1,
