Year,TextGrid,TierNumber,TierName,useable,
2010,2010_08_1314.TextGrid,1,Stephen G Breyer,1,
2010,2010_08_1314.TextGrid,2,Antonin Scalia,1,
2010,2010_08_1314.TextGrid,3,Sonia Sotomayor,1,
2010,2010_08_1314.TextGrid,4,John G Roberts,1,
2010,2010_08_1314.TextGrid,5,Ruth Bader Ginsburg,1,
2010,2010_08_1314.TextGrid,6,William M Jay,1,
2010,2010_08_1314.TextGrid,7,Unidentified Justice,1,
2010,2010_08_1314.TextGrid,8,Gregory G Garre,1,
2010,2010_08_1314.TextGrid,9,Martin N  Buchanan,1,
2010,2010_08_1314.TextGrid,10,Anthony Kennedy,1,
2010,2010_08_1314.TextGrid,11,Samuel Alito,1,
2010,2010_08_1423.TextGrid,1,Stephen G Breyer,1,
2010,2010_08_1423.TextGrid,2,Antonin Scalia,1,
2010,2010_08_1423.TextGrid,3,Roy T Englert Jr,1,
2010,2010_08_1423.TextGrid,4,Sonia Sotomayor,1,
2010,2010_08_1423.TextGrid,5,John G Roberts,1,
2010,2010_08_1423.TextGrid,6,Aaron M Panner,1,
2010,2010_08_1423.TextGrid,7,Ruth Bader Ginsburg,1,
2010,2010_08_1423.TextGrid,8,Samuel Alito,1,
2010,2010_08_1423.TextGrid,9,Anthony Kennedy,1,
2010,2010_08_1423.TextGrid,10,Malcolm L Stewart,1,
2010,2010_08_1448.TextGrid,1,Stephen G Breyer,1,
2010,2010_08_1448.TextGrid,2,Zackery P Morazzini,1,
2010,2010_08_1448.TextGrid,3,Elena Kagan,1,
2010,2010_08_1448.TextGrid,4,Antonin Scalia,1,
2010,2010_08_1448.TextGrid,5,Paul M Smith,1,
2010,2010_08_1448.TextGrid,6,Sonia Sotomayor,1,
2010,2010_08_1448.TextGrid,7,John G Roberts,1,
2010,2010_08_1448.TextGrid,8,Ruth Bader Ginsburg,1,
2010,2010_08_1448.TextGrid,9,Anthony Kennedy,1,
2010,2010_08_1448.TextGrid,10,Samuel Alito,1,
2010,2010_09_1036.TextGrid,1,Stephen G Breyer,1,
2010,2010_09_1036.TextGrid,2,Eric D Miller,1,
2010,2010_09_1036.TextGrid,3,Antonin Scalia,1,
2010,2010_09_1036.TextGrid,4,Sonia Sotomayor,1,
2010,2010_09_1036.TextGrid,5,John G Roberts,1,
2010,2010_09_1036.TextGrid,6,Ruth Bader Ginsburg,1,
2010,2010_09_1036.TextGrid,7,Anthony Kennedy,1,
2010,2010_09_1036.TextGrid,8,Samuel Alito,1,
2010,2010_09_1036.TextGrid,9,Lisa S Blatt,1,
2010,2010_09_1088.TextGrid,1,Stephen G Breyer,1,
2010,2010_09_1088.TextGrid,2,Antonin Scalia,1,
2010,2010_09_1088.TextGrid,3,Elena Kagan,1,
2010,2010_09_1088.TextGrid,4,Sean K Kennedy,1,
2010,2010_09_1088.TextGrid,5,Sonia Sotomayor,1,
2010,2010_09_1088.TextGrid,6,John G Roberts,1,
2010,2010_09_1088.TextGrid,7,Ruth Bader Ginsburg,1,
2010,2010_09_1088.TextGrid,8,James W Bilderback Ii,1,
2010,2010_09_1088.TextGrid,9,Anthony Kennedy,1,
2010,2010_09_1088.TextGrid,10,Samuel Alito,1,
2010,2010_09_115.TextGrid,1,Stephen G Breyer,1,
2010,2010_09_115.TextGrid,2,Antonin Scalia,1,
2010,2010_09_115.TextGrid,3,Mary R Ogrady,1,
2010,2010_09_115.TextGrid,4,Sonia Sotomayor,1,
2010,2010_09_115.TextGrid,5,John G Roberts,1,
2010,2010_09_115.TextGrid,6,Neal Kumar Katyal,1,
2010,2010_09_115.TextGrid,7,Ruth Bader Ginsburg,1,
2010,2010_09_115.TextGrid,8,Carter G Phillips,1,
2010,2010_09_115.TextGrid,9,Anthony Kennedy,1,
2010,2010_09_115.TextGrid,10,Samuel Alito,1,
2010,2010_09_1227.TextGrid,1,Stephen G Breyer,1,
2010,2010_09_1227.TextGrid,2,Elena Kagan,1,
2010,2010_09_1227.TextGrid,3,Antonin Scalia,1,
2010,2010_09_1227.TextGrid,4,Paul D Clement,1,
2010,2010_09_1227.TextGrid,5,Stephen R Mcallister,1,
2010,2010_09_1227.TextGrid,6,Sonia Sotomayor,1,
2010,2010_09_1227.TextGrid,7,John G Roberts,1,
2010,2010_09_1227.TextGrid,8,Ruth Bader Ginsburg,1,
2010,2010_09_1227.TextGrid,9,Anthony Kennedy,1,
2010,2010_09_1227.TextGrid,10,Samuel Alito,1,
2010,2010_09_1227.TextGrid,11,Michael R Dreeben,1,
2010,2010_09_1233.TextGrid,1,Donald Specter,1,encoding problem
2010,2010_09_1233.TextGrid,2,Stephen G Breyer,1,encoding problem
2010,2010_09_1233.TextGrid,3,Elena Kagan,1,encoding problem
2010,2010_09_1233.TextGrid,4,Antonin Scalia,1,encoding problem
2010,2010_09_1233.TextGrid,5,Sonia Sotomayor,1,encoding problem
2010,2010_09_1233.TextGrid,6,John G Roberts,1,encoding problem
2010,2010_09_1233.TextGrid,7,Carter G Phillips,1,encoding problem
2010,2010_09_1233.TextGrid,8,Ruth Bader Ginsburg,1,encoding problem
2010,2010_09_1233.TextGrid,9,Samuel Alito,1,encoding problem
2010,2010_09_1233.TextGrid,10,Anthony Kennedy,1,encoding problem
2010,2010_09_1272.TextGrid,1,Stephen G Breyer,1,
2010,2010_09_1272.TextGrid,2,Antonin Scalia,1,
2010,2010_09_1272.TextGrid,3,Elena Kagan,1,
2010,2010_09_1272.TextGrid,4,Joshua D Farley,1,
2010,2010_09_1272.TextGrid,5,Jamesa J Drake,1,
2010,2010_09_1272.TextGrid,6,Ann Oconnell,1,
2010,2010_09_1272.TextGrid,7,Sonia Sotomayor,1,
2010,2010_09_1272.TextGrid,8,John G Roberts,1,
2010,2010_09_1272.TextGrid,9,Ruth Bader Ginsburg,1,
2010,2010_09_1272.TextGrid,10,Anthony Kennedy,1,
2010,2010_09_1272.TextGrid,11,Samuel Alito,1,
2010,2010_09_1273.TextGrid,1,Ginger D  Anders,1,
2010,2010_09_1273.TextGrid,2,Stephen G Breyer,1,
2010,2010_09_1273.TextGrid,3,Antonin Scalia,1,
2010,2010_09_1273.TextGrid,4,David C Frederick,1,
2010,2010_09_1273.TextGrid,5,Sonia Sotomayor,1,
2010,2010_09_1273.TextGrid,6,John G Roberts,1,
2010,2010_09_1273.TextGrid,7,Ruth Bader Ginsburg,1,
2010,2010_09_1273.TextGrid,8,Samuel Alito,1,
2010,2010_09_1273.TextGrid,9,Anthony Kennedy,1,
2010,2010_09_1273.TextGrid,10,Lisa S Blatt,1,
2010,2010_09_1279.TextGrid,1,Stephen G Breyer,1,
2010,2010_09_1279.TextGrid,2,Sonia Sotomayor,1,
2010,2010_09_1279.TextGrid,3,Antonin Scalia,1,
2010,2010_09_1279.TextGrid,4,John G Roberts,1,
2010,2010_09_1279.TextGrid,5,Ruth Bader Ginsburg,1,
2010,2010_09_1279.TextGrid,6,Anthony A Yang,1,
2010,2010_09_1279.TextGrid,7,Anthony Kennedy,1,
2010,2010_09_1279.TextGrid,8,Samuel Alito,1,
2010,2010_09_1279.TextGrid,9,Geoffrey M Klineberg,1,
2010,2010_09_1298.TextGrid,1,Stephen G Breyer,1,
2010,2010_09_1298.TextGrid,2,Elena Kagan,1,
2010,2010_09_1298.TextGrid,3,Antonin Scalia,1,
2010,2010_09_1298.TextGrid,4,Sonia Sotomayor,1,
2010,2010_09_1298.TextGrid,5,Neal Kumar Katyal,1,
2010,2010_09_1298.TextGrid,6,John G Roberts,1,
2010,2010_09_1298.TextGrid,7,Carter G Phillips,1,
2010,2010_09_1298.TextGrid,8,Ruth Bader Ginsburg,1,
2010,2010_09_1298.TextGrid,9,Anthony Kennedy,1,
2010,2010_09_1298.TextGrid,10,Samuel Alito,1,
2010,2010_09_1343.TextGrid,1,Stephen G Breyer,1,
2010,2010_09_1343.TextGrid,2,Elena Kagan,1,
2010,2010_09_1343.TextGrid,3,Antonin Scalia,1,
2010,2010_09_1343.TextGrid,4,Alexander W Ross Jr,1,
2010,2010_09_1343.TextGrid,5,Arthur F Fergenson,1,
2010,2010_09_1343.TextGrid,6,Sonia Sotomayor,1,
2010,2010_09_1343.TextGrid,7,John G Roberts,1,
2010,2010_09_1343.TextGrid,8,Ruth Bader Ginsburg,1,
2010,2010_09_1343.TextGrid,9,Samuel Alito,1,
2010,2010_09_1343.TextGrid,10,Anthony Kennedy,1,
2010,2010_09_1403.TextGrid,1,Stephen G Breyer,1,
2010,2010_09_1403.TextGrid,2,Antonin Scalia,1,
2010,2010_09_1403.TextGrid,3,Elena Kagan,1,
2010,2010_09_1403.TextGrid,4,David Boies,1,
2010,2010_09_1403.TextGrid,5,David Sterling,1,
2010,2010_09_1403.TextGrid,6,Nicole A Saharsky,1,
2010,2010_09_1403.TextGrid,7,Sonia Sotomayor,1,
2010,2010_09_1403.TextGrid,8,John G Roberts,1,
2010,2010_09_1403.TextGrid,9,Ruth Bader Ginsburg,1,
2010,2010_09_1403.TextGrid,10,Samuel Alito,1,
2010,2010_09_1403.TextGrid,11,Anthony Kennedy,1,
