Year,TextGrid,TierNumber,TierName,useable,
2008,2008_06_11206.TextGrid,1,matthew d roberts,1,
2008,2008_06_11206.TextGrid,2,david h souter,1,
2008,2008_06_11206.TextGrid,3,antonin scalia,1,
2008,2008_06_11206.TextGrid,4,john g roberts jr,1,
2008,2008_06_11206.TextGrid,5,john paul stevens,1,
2008,2008_06_11206.TextGrid,6,robert n hochman,1,
2008,2008_06_11206.TextGrid,7,anthony kennedy,1,
2008,2008_06_11206.TextGrid,8,samuel a alito jr,1,
2008,2008_06_11206.TextGrid,9,ruth bader ginsburg,1,
2008,2008_06_11206.TextGrid,10,stephen g breyer,1,
2008,2008_06_1249.TextGrid,1,SouterDavidH,0,incorrect text file
2008,2008_06_1249.TextGrid,2,ScaliaAntonin,0,incorrect text file
2008,2008_06_1249.TextGrid,3,RobertsJohnG,0,incorrect text file
2008,2008_06_1249.TextGrid,4,StevensJohnPaul,0,incorrect text file
2008,2008_06_1249.TextGrid,5,KennedyAnthony,0,incorrect text file
2008,2008_06_1249.TextGrid,6,FrederickDavidC,0,incorrect text file
2008,2008_06_1249.TextGrid,7,WaxmanSethP,0,incorrect text file
2008,2008_06_1249.TextGrid,8,AlitoSamuelA,0,incorrect text file
2008,2008_06_1249.TextGrid,9,GinsburgRuthBader,0,incorrect text file
2008,2008_06_1249.TextGrid,10,BreyerStephenG,0,incorrect text file
2008,2008_06_1249.TextGrid,11,KneedleEdwinS,0,incorrect text file
2008,2008_06_1249.TextGrid,12,Unknown,0,incorrect text file
2008,2008_06_1595.TextGrid,1,Roberts(JR),0,name cannot get
2008,2008_06_1595.TextGrid,2,Scalia(AS),0,name cannot get
2008,2008_06_1595.TextGrid,3,Alito(SA),0,name cannot get
2008,2008_06_1595.TextGrid,4,Kennedy(AK),0,name cannot get
2008,2008_06_1595.TextGrid,5,Ginsburg(RG),0,name cannot get
2008,2008_06_1595.TextGrid,6,Breyer(SB),0,name cannot get
2008,2008_06_1595.TextGrid,7,Stevens(JS),0,name cannot get
2008,2008_06_1595.TextGrid,8,Souter(DS),0,name cannot get
2008,2008_06_1595.TextGrid,9,SchnapperEric,0,name cannot get
2008,2008_06_1595.TextGrid,10,BlattLisa,0,name cannot get
2008,2008_06_1595.TextGrid,11,YoungFrancis,0,name cannot get
2008,2008_07_1015.TextGrid,1,david h souter,1,
2008,2008_07_1015.TextGrid,2,antonin scalia,1,
2008,2008_07_1015.TextGrid,3,john g roberts jr,1,
2008,2008_07_1015.TextGrid,4,john paul stevens,1,
2008,2008_07_1015.TextGrid,5,anthony kennedy,1,
2008,2008_07_1015.TextGrid,6,alexander a reinert,1,
2008,2008_07_1015.TextGrid,7,gregory g garre,1,
2008,2008_07_1015.TextGrid,8,samuel a alito jr,1,
2008,2008_07_1015.TextGrid,9,ruth bader ginsburg,1,
2008,2008_07_1015.TextGrid,10,stephen g breyer,1,
2008,2008_07_10374.TextGrid,1,john paul stevens,1,
2008,2008_07_10374.TextGrid,2,anthony kennedy,1,
2008,2008_07_10374.TextGrid,3,david h souter,1,
2008,2008_07_10374.TextGrid,4,samuel a alito jr,1,
2008,2008_07_10374.TextGrid,5,antonin scalia,1,
2008,2008_07_10374.TextGrid,6,ruth bader ginsburg,1,
2008,2008_07_10374.TextGrid,7,jason e murtagh,1,
2008,2008_07_10374.TextGrid,8,john g roberts jr,1,
2008,2008_07_10374.TextGrid,9,stephen g breyer,1,
2008,2008_07_10374.TextGrid,10,barbara d underwood,1,
2008,2008_07_10441.TextGrid,1,michael r dreeben,1,
2008,2008_07_10441.TextGrid,2,david h souter,1,
2008,2008_07_10441.TextGrid,3,antonin scalia,1,
2008,2008_07_10441.TextGrid,4,john g roberts jr,1,
2008,2008_07_10441.TextGrid,5,john paul stevens,1,
2008,2008_07_10441.TextGrid,6,anthony kennedy,1,
2008,2008_07_10441.TextGrid,7,david l mccolgin,1,
2008,2008_07_10441.TextGrid,8,samuel a alito jr,1,
2008,2008_07_10441.TextGrid,9,ruth bader ginsburg,1,
2008,2008_07_10441.TextGrid,10,stephen g breyer,1,
2008,2008_07_1059.TextGrid,1,h bartow farr iii,1,
2008,2008_07_1059.TextGrid,2,david h souter,1,
2008,2008_07_1059.TextGrid,3,antonin scalia,1,
2008,2008_07_1059.TextGrid,4,john g roberts jr,1,
2008,2008_07_1059.TextGrid,5,john paul stevens,1,
2008,2008_07_1059.TextGrid,6,anthony kennedy,1,
2008,2008_07_1059.TextGrid,7,caitlin j halligan,1,
2008,2008_07_1059.TextGrid,8,ruth bader ginsburg,1,
2008,2008_07_1059.TextGrid,9,malcolm l stewart,1,
2008,2008_07_1059.TextGrid,10,stephen g breyer,1,
2008,2008_07_1090.TextGrid,1,Lawyer11,0,name cannot get
2008,2008_07_1090.TextGrid,2,Souter,0,name cannot get
2008,2008_07_1090.TextGrid,3,Scalia,0,name cannot get
2008,2008_07_1090.TextGrid,4,Roberts,0,name cannot get
2008,2008_07_1090.TextGrid,5,Lawyer12,0,name cannot get
2008,2008_07_1090.TextGrid,6,Stevens,0,name cannot get
2008,2008_07_1090.TextGrid,7,Kennedy,0,name cannot get
2008,2008_07_1090.TextGrid,8,Alito,0,name cannot get
2008,2008_07_1090.TextGrid,9,Lawyer2,0,name cannot get
2008,2008_07_1090.TextGrid,10,Ginsburg,0,name cannot get
2008,2008_07_1090.TextGrid,11,Breyer,0,name cannot get
2008,2008_07_1114.TextGrid,1,Lawyer1,0,name cannot get
2008,2008_07_1114.TextGrid,2,Lawyer2,0,name cannot get
2008,2008_07_1114.TextGrid,3,Roberts,0,name cannot get
2008,2008_07_1114.TextGrid,4,Scalia,0,name cannot get
2008,2008_07_1114.TextGrid,5,Kennedy,0,name cannot get
2008,2008_07_1114.TextGrid,6,Alito,0,name cannot get
2008,2008_07_1114.TextGrid,7,Souter,0,name cannot get
2008,2008_07_1114.TextGrid,8,Ginsburg,0,name cannot get
2008,2008_07_1114.TextGrid,9,Breyer,0,name cannot get
2008,2008_07_1114.TextGrid,10,Stevens,0,name cannot get
2008,2008_07_1122.TextGrid,1,toby j heytens,1,
2008,2008_07_1122.TextGrid,2,david h souter,1,
2008,2008_07_1122.TextGrid,3,joseph l parkhurst,1,
2008,2008_07_1122.TextGrid,4,antonin scalia,1,
2008,2008_07_1122.TextGrid,5,john g roberts jr,1,
2008,2008_07_1122.TextGrid,6,john paul stevens,1,
2008,2008_07_1122.TextGrid,7,anthony kennedy,1,
2008,2008_07_1122.TextGrid,8,samuel a alito jr,1,
2008,2008_07_1122.TextGrid,9,andrew j pincus,1,
2008,2008_07_1122.TextGrid,10,ruth bader ginsburg,1,
2008,2008_07_1122.TextGrid,11,stephen g breyer,1,
2008,2008_07_1125.TextGrid,1,john paul stevens,1,
2008,2008_07_1125.TextGrid,2,kay h hodge,1,
2008,2008_07_1125.TextGrid,3,charles a rothfeld,1,
2008,2008_07_1125.TextGrid,4,antonin scalia,1,
2008,2008_07_1125.TextGrid,5,ruth bader ginsburg,1,
2008,2008_07_1125.TextGrid,6,john g roberts jr,1,
2008,2008_07_1125.TextGrid,7,stephen g breyer,1,
2008,2008_07_1209.TextGrid,1,christopher j meade,1,
2008,2008_07_1209.TextGrid,2,david h souter,1,
2008,2008_07_1209.TextGrid,3,antonin scalia,1,
2008,2008_07_1209.TextGrid,4,john g roberts jr,1,
2008,2008_07_1209.TextGrid,5,mark r lippman,1,
2008,2008_07_1209.TextGrid,6,john paul stevens,1,
2008,2008_07_1209.TextGrid,7,eric d miller,1,
2008,2008_07_1209.TextGrid,8,anthony kennedy,1,
2008,2008_07_1209.TextGrid,9,samuel a alito jr,1,
2008,2008_07_1209.TextGrid,10,ruth bader ginsburg,1,
2008,2008_07_1209.TextGrid,11,stephen g breyer,1,
2008,2008_07_1216.TextGrid,1,stephen m shapiro,1,
2008,2008_07_1216.TextGrid,2,david h souter,1,
2008,2008_07_1216.TextGrid,3,antonin scalia,1,
2008,2008_07_1216.TextGrid,4,john g roberts jr,1,
2008,2008_07_1216.TextGrid,5,robert s peck,1,
2008,2008_07_1216.TextGrid,6,john paul stevens,1,
2008,2008_07_1216.TextGrid,7,anthony kennedy,1,
2008,2008_07_1216.TextGrid,8,ruth bader ginsburg,1,
2008,2008_07_1216.TextGrid,9,stephen g breyer,1,
2008,2008_07_1239.TextGrid,1,Roberts(JR),0,
2008,2008_07_1239.TextGrid,2,Scalia(AS),0,name cannot get
2008,2008_07_1239.TextGrid,3,Alito(SA),0,name cannot get
2008,2008_07_1239.TextGrid,4,Kennedy(AK),0,name cannot get
2008,2008_07_1239.TextGrid,5,Ginsburg(RG),0,name cannot get
2008,2008_07_1239.TextGrid,6,Breyer(SB),0,name cannot get
2008,2008_07_1239.TextGrid,7,Stevens(JS),0,name cannot get
2008,2008_07_1239.TextGrid,8,Souter(DS),0,name cannot get
2008,2008_07_1239.TextGrid,9,GarreGregory,0,name cannot get
2008,2008_07_1239.TextGrid,10,KendallRichard,0,name cannot get
2008,2008_07_1309.TextGrid,1,marc fernich,1,
2008,2008_07_1309.TextGrid,2,david h souter,1,
2008,2008_07_1309.TextGrid,3,antonin scalia,1,
2008,2008_07_1309.TextGrid,4,john g roberts jr,1,
2008,2008_07_1309.TextGrid,5,anthony kennedy,1,
2008,2008_07_1309.TextGrid,6,anthony yang,1,
2008,2008_07_1309.TextGrid,7,samuel a alito jr,1,
2008,2008_07_1309.TextGrid,8,ruth bader ginsburg,1,
2008,2008_07_1309.TextGrid,9,stephen g breyer,1,
2008,2008_07_1315.TextGrid,1,david h souter,1,
2008,2008_07_1315.TextGrid,2,antonin scalia,1,
