Year,TextGrid,TierNumber,TierName,useable,
2005,2005_04_1131.TextGrid,1,sandra day oconnor,1,
2005,2005_04_1131.TextGrid,2,david h souter,1,
2005,2005_04_1131.TextGrid,3,antonin scalia,1,
2005,2005_04_1131.TextGrid,4,john g roberts jr,1,
2005,2005_04_1131.TextGrid,5,john paul stevens,1,
2005,2005_04_1131.TextGrid,6,anthony kennedy,1,
2005,2005_04_1131.TextGrid,7,ruth bader ginsburg,1,
2005,2005_04_1131.TextGrid,8,pamela s karlan,1,
2005,2005_04_1131.TextGrid,9,stephen g breyer,1,
2005,2005_04_1131.TextGrid,10,malcolm l stewart,1,
2005,2005_04_1152.TextGrid,1,sandra day oconnor,0,
2005,2005_04_1152.TextGrid,2,david h souter,0,
2005,2005_04_1152.TextGrid,3,paul d clement,0,
2005,2005_04_1152.TextGrid,4,antonin scalia,0,
2005,2005_04_1152.TextGrid,5,john g roberts jr,0,
2005,2005_04_1152.TextGrid,6,john paul stevens,0,
2005,2005_04_1152.TextGrid,7,anthony kennedy,0,
2005,2005_04_1152.TextGrid,8,e joshua rosenkranz,0,
2005,2005_04_1152.TextGrid,9,ruth bader ginsburg,0,
2005,2005_04_1152.TextGrid,10,stephen g breyer,0,
2005,2005_04_1544.TextGrid,1,david h souter,1,
2005,2005_04_1544.TextGrid,2,antonin scalia,1,
2005,2005_04_1544.TextGrid,3,john g roberts jr,1,
2005,2005_04_1544.TextGrid,4,john paul stevens,1,
2005,2005_04_1544.TextGrid,5,anthony kennedy,1,
2005,2005_04_1544.TextGrid,6,g eric brunstad jr,1,
2005,2005_04_1544.TextGrid,7,deanne e maynard,1,
2005,2005_04_1544.TextGrid,8,ruth bader ginsburg,1,
2005,2005_04_1544.TextGrid,9,kent l richland,1,
2005,2005_04_1544.TextGrid,10,stephen g breyer,1,
2005,2005_04_1618.TextGrid,1,dan himmelfarb,1,
2005,2005_04_1618.TextGrid,2,antonin scalia,1,
2005,2005_04_1618.TextGrid,3,john g roberts jr,1,
2005,2005_04_1618.TextGrid,4,john paul stevens,1,
2005,2005_04_1618.TextGrid,5,anthony kennedy,1,
2005,2005_04_1618.TextGrid,6,samuel a alito jr,1,
2005,2005_04_1618.TextGrid,7,miguel a estrada,1,
2005,2005_04_1618.TextGrid,8,ruth bader ginsburg,1,
2005,2005_04_1618.TextGrid,9,r jonathan hart,1,
2005,2005_04_1739.TextGrid,1,jere krakoff,1,
2005,2005_04_1739.TextGrid,2,david h souter,1,
2005,2005_04_1739.TextGrid,3,antonin scalia,1,
2005,2005_04_1739.TextGrid,4,john g roberts jr,1,
2005,2005_04_1739.TextGrid,5,louis j rovelli,1,
2005,2005_04_1739.TextGrid,6,john paul stevens,1,
2005,2005_04_1739.TextGrid,7,anthony kennedy,1,
2005,2005_04_1739.TextGrid,8,ruth bader ginsburg,1,
2005,2005_04_1739.TextGrid,9,jonathan l marcus,1,
2005,2005_04_1739.TextGrid,10,stephen g breyer,1,
2005,2005_04_593.TextGrid,1,sandra day oconnor,1,
2005,2005_04_593.TextGrid,2,david h souter,1,
2005,2005_04_593.TextGrid,3,antonin scalia,1,
2005,2005_04_593.TextGrid,4,john g roberts jr,1,
2005,2005_04_593.TextGrid,5,maureen e mahoney,1,
2005,2005_04_593.TextGrid,6,john paul stevens,1,
2005,2005_04_593.TextGrid,7,anthony kennedy,1,
2005,2005_04_593.TextGrid,8,allen lichtenstein,1,
2005,2005_04_593.TextGrid,9,ruth bader ginsburg,1,
2005,2005_04_593.TextGrid,10,stephen g breyer,1,
2005,2005_04_881.TextGrid,1,sandra day oconnor,1,
2005,2005_04_881.TextGrid,2,david h souter,1,
2005,2005_04_881.TextGrid,3,antonin scalia,1,
2005,2005_04_881.TextGrid,4,john g roberts jr,1,
2005,2005_04_881.TextGrid,5,brian wolfman,1,
2005,2005_04_881.TextGrid,6,john paul stevens,1,
2005,2005_04_881.TextGrid,7,lisa schiavo blatt,1,
2005,2005_04_881.TextGrid,8,anthony kennedy,1,
2005,2005_04_881.TextGrid,9,ruth bader ginsburg,1,
2005,2005_04_881.TextGrid,10,stephen g breyer,1,
2005,2005_04_8990.TextGrid,1,stephen m kissinger,1,
2005,2005_04_8990.TextGrid,2,sandra day oconnor,1,
2005,2005_04_8990.TextGrid,3,david h souter,1,
2005,2005_04_8990.TextGrid,4,antonin scalia,1,
2005,2005_04_8990.TextGrid,5,john g roberts jr,1,
2005,2005_04_8990.TextGrid,6,john paul stevens,1,
2005,2005_04_8990.TextGrid,7,anthony kennedy,1,
2005,2005_04_8990.TextGrid,8,jennifer l smith,1,
2005,2005_04_8990.TextGrid,9,ruth bader ginsburg,1,
2005,2005_04_8990.TextGrid,10,stephen g breyer,1,
