Year,TextGrid,TierNumber,TierName,useable,
2011,2011_09_958.TextGrid,1,Karin S Schwartz,1,
2011,2011_09_958.TextGrid,2,Stephen G Breyer,1,
2011,2011_09_958.TextGrid,3,Antonin Scalia,1,
2011,2011_09_958.TextGrid,4,Elena Kagan,1,
2011,2011_09_958.TextGrid,5,Sonia Sotomayor,1,
2011,2011_09_958.TextGrid,6,John G Roberts,1,
2011,2011_09_958.TextGrid,7,Carter G Phillips,1,
2011,2011_09_958.TextGrid,8,Edwin S Kneedler,1,
2011,2011_09_958.TextGrid,9,Ruth Bader Ginsburg,1,
2011,2011_09_958.TextGrid,10,Anthony Kennedy,1,
2011,2011_09_958.TextGrid,11,Samuel Alito,1,
2011,2011_10_1001.TextGrid,1,Stephen G Breyer,1,
2011,2011_10_1001.TextGrid,2,Elena Kagan,1,
2011,2011_10_1001.TextGrid,3,Antonin Scalia,1,
2011,2011_10_1001.TextGrid,4,Robert D Bartels,1,
2011,2011_10_1001.TextGrid,5,Kent E Cattani,1,
2011,2011_10_1001.TextGrid,6,Jeffrey B Wall,1,
2011,2011_10_1001.TextGrid,7,Sonia Sotomayor,1,
2011,2011_10_1001.TextGrid,8,John G Roberts,1,
2011,2011_10_1001.TextGrid,9,Ruth Bader Ginsburg,1,
2011,2011_10_1001.TextGrid,10,Samuel Alito,1,
2011,2011_10_1001.TextGrid,11,Anthony Kennedy,1,
2011,2011_10_1016.TextGrid,1,Stephen G Breyer,1,
2011,2011_10_1016.TextGrid,2,John B Howard Jr,1,
2011,2011_10_1016.TextGrid,3,Antonin Scalia,1,
2011,2011_10_1016.TextGrid,4,Elena Kagan,1,
2011,2011_10_1016.TextGrid,5,Michael L Foreman,1,
2011,2011_10_1016.TextGrid,6,Sonia Sotomayor,1,
2011,2011_10_1016.TextGrid,7,John G Roberts,1,
2011,2011_10_1016.TextGrid,8,Ruth Bader Ginsburg,1,
2011,2011_10_1016.TextGrid,9,Samuel Alito,1,
