Year,TextGrid,TierNumber,TierName,useable,
2006,2006_05_1284.TextGrid,4,theodore b olson,1,
2006,2006_05_1284.TextGrid,5,john g roberts jr,1,
2006,2006_05_1284.TextGrid,6,anthony kennedy,1,
2006,2006_05_1284.TextGrid,7,david c frederick,1,
2006,2006_05_1284.TextGrid,8,ruth bader ginsburg,1,
2006,2006_05_1284.TextGrid,9,stephen g breyer,1,
2006,2006_05_1342.TextGrid,1,e john blanchard,1,
2006,2006_05_1342.TextGrid,2,david h souter,1,
2006,2006_05_1342.TextGrid,3,sri srinivasan,1,
2006,2006_05_1342.TextGrid,4,antonin scalia,1,
2006,2006_05_1342.TextGrid,5,john g roberts jr,1,
2006,2006_05_1342.TextGrid,6,john paul stevens,1,
2006,2006_05_1342.TextGrid,7,anthony kennedy,1,
2006,2006_05_1342.TextGrid,8,unknown,1,
2006,2006_05_1342.TextGrid,9,samuel a alito jr,1,
2006,2006_05_1342.TextGrid,10,ruth bader ginsburg,1,
2006,2006_05_1342.TextGrid,11,robert a long jr,1,
2006,2006_05_1342.TextGrid,12,stephen g breyer,1,
2006,2006_05_1345.TextGrid,1,michael j cahill,1,
2006,2006_05_1345.TextGrid,2,david h souter,1,
2006,2006_05_1345.TextGrid,3,antonin scalia,1,
2006,2006_05_1345.TextGrid,4,john g roberts jr,1,
2006,2006_05_1345.TextGrid,5,john paul stevens,1,
2006,2006_05_1345.TextGrid,6,caitlin j halligan,1,
2006,2006_05_1345.TextGrid,7,anthony kennedy,1,
2006,2006_05_1345.TextGrid,8,samuel a alito jr,1,
2006,2006_05_1345.TextGrid,9,evan mark tager,1,
2006,2006_05_1345.TextGrid,10,ruth bader ginsburg,1,
2006,2006_05_1345.TextGrid,11,stephen g breyer,1,
2006,2006_05_1382.TextGrid,1,david h souter,1,
2006,2006_05_1382.TextGrid,2,paul d clement,1,
2006,2006_05_1382.TextGrid,3,antonin scalia,1,
2006,2006_05_1382.TextGrid,4,john g roberts jr,1,
2006,2006_05_1382.TextGrid,5,john paul stevens,1,
2006,2006_05_1382.TextGrid,6,anthony kennedy,1,
2006,2006_05_1382.TextGrid,7,eve c gartner,1,
2006,2006_05_1382.TextGrid,8,ruth bader ginsburg,1,
2006,2006_05_1382.TextGrid,9,stephen g breyer,1,
2006,2006_05_1508.TextGrid,1,leigh marc manasevit,1,
2006,2006_05_1508.TextGrid,2,david h souter,1,
2006,2006_05_1508.TextGrid,3,ronald j vanamberg,1,
2006,2006_05_1508.TextGrid,4,sri srinivasan,1,
2006,2006_05_1508.TextGrid,5,antonin scalia,1,
2006,2006_05_1508.TextGrid,6,john g roberts jr,1,
2006,2006_05_1508.TextGrid,7,john paul stevens,1,
2006,2006_05_1508.TextGrid,8,anthony kennedy,1,
2006,2006_05_1508.TextGrid,9,samuel a alito jr,1,
2006,2006_05_1508.TextGrid,10,ruth bader ginsburg,1,
2006,2006_05_1508.TextGrid,11,stephen g breyer,1,
2006,2006_05_1541.TextGrid,1,antonin scalia,1,
2006,2006_05_1541.TextGrid,2,francis s ainsa jr,1,
2006,2006_05_1541.TextGrid,3,john g roberts jr,1,
2006,2006_05_1541.TextGrid,4,john paul stevens,1,
2006,2006_05_1541.TextGrid,5,anthony kennedy,1,
2006,2006_05_1541.TextGrid,6,deanne e maynard,1,
2006,2006_05_1541.TextGrid,7,samuel a alito jr,1,
2006,2006_05_1541.TextGrid,8,ruth bader ginsburg,1,
2006,2006_05_1541.TextGrid,9,stephen g breyer,1,
2006,2006_05_1629.TextGrid,1,christopher j meade,1,
2006,2006_05_1629.TextGrid,2,dan himmelfarb,1,
2006,2006_05_1629.TextGrid,3,david h souter,1,
2006,2006_05_1629.TextGrid,4,antonin scalia,1,
2006,2006_05_1629.TextGrid,5,john g roberts jr,1,
2006,2006_05_1629.TextGrid,6,john paul stevens,1,
2006,2006_05_1629.TextGrid,7,anthony kennedy,1,
2006,2006_05_1629.TextGrid,8,samuel a alito jr,1,
2006,2006_05_1629.TextGrid,9,ruth bader ginsburg,1,
2006,2006_05_1629.TextGrid,10,stephen g breyer,1,
2006,2006_05_1631.TextGrid,1,philip w savrin,1,
2006,2006_05_1631.TextGrid,2,david h souter,1,
2006,2006_05_1631.TextGrid,3,antonin scalia,1,
2006,2006_05_1631.TextGrid,4,john g roberts jr,1,
2006,2006_05_1631.TextGrid,5,john paul stevens,1,
2006,2006_05_1631.TextGrid,6,anthony kennedy,1,
2006,2006_05_1631.TextGrid,7,craig t jones,1,
2006,2006_05_1631.TextGrid,8,gregory g garre,1,
2006,2006_05_1631.TextGrid,9,samuel a alito jr,1,
2006,2006_05_1631.TextGrid,10,ruth bader ginsburg,1,
2006,2006_05_1631.TextGrid,11,stephen g breyer,1,
2006,2006_05_380.TextGrid,1,david h souter,1,
2006,2006_05_380.TextGrid,2,paul d clement,1,
2006,2006_05_380.TextGrid,3,antonin scalia,1,
2006,2006_05_380.TextGrid,4,john g roberts jr,1,
2006,2006_05_380.TextGrid,5,priscilla j smith,1,
2006,2006_05_380.TextGrid,6,john paul stevens,1,
2006,2006_05_380.TextGrid,7,anthony kennedy,1,
2006,2006_05_380.TextGrid,8,ruth bader ginsburg,1,
2006,2006_05_380.TextGrid,9,stephen g breyer,1,
2006,2006_05_381.TextGrid,1,david h souter,1,
2006,2006_05_381.TextGrid,2,antonin scalia,1,
2006,2006_05_381.TextGrid,3,john g roberts jr,1,
2006,2006_05_381.TextGrid,4,michael e haglund,1,
2006,2006_05_381.TextGrid,5,john paul stevens,1,
2006,2006_05_381.TextGrid,6,anthony kennedy,1,
2006,2006_05_381.TextGrid,7,samuel a alito jr,1,
2006,2006_05_381.TextGrid,8,andrew j pincus,1,
2006,2006_05_381.TextGrid,9,ruth bader ginsburg,1,
2006,2006_05_381.TextGrid,10,stephen g breyer,1,
2006,2006_05_381.TextGrid,11,kannon k shanmugam,1,
2006,2006_05_493.TextGrid,1,david h souter,0,
2006,2006_05_493.TextGrid,2,antonin scalia,0,
2006,2006_05_493.TextGrid,3,john g roberts jr,0,
2006,2006_05_493.TextGrid,4,john paul stevens,0,
2006,2006_05_493.TextGrid,5,anthony kennedy,0,
2006,2006_05_493.TextGrid,6,eric  s multhaup,0,
2006,2006_05_493.TextGrid,7,unknown,0,
2006,2006_05_493.TextGrid,8,mark a johnson,0,
2006,2006_05_493.TextGrid,9,samuel a alito jr,0,
2006,2006_05_493.TextGrid,10,ruth bader ginsburg,0,
2006,2006_05_493.TextGrid,11,stephen g breyer,0,
2006,2006_05_547.TextGrid,1,david h souter,1,
2006,2006_05_547.TextGrid,2,antonin scalia,1,
2006,2006_05_547.TextGrid,3,john g roberts jr,1,
2006,2006_05_547.TextGrid,4,john paul stevens,1,
2006,2006_05_547.TextGrid,5,anthony kennedy,1,
2006,2006_05_547.TextGrid,6,samuel a alito jr,1,
2006,2006_05_547.TextGrid,7,ruth bader ginsburg,1,
2006,2006_05_547.TextGrid,8,edwin s kneedler,1,
2006,2006_05_547.TextGrid,9,robert a long jr,1,
2006,2006_05_547.TextGrid,10,stephen g breyer,1,
2006,2006_05_547.TextGrid,11,timothy crooks,1,
