Year,TextGrid,TierNumber,TierName,useable,
2009,2009_07_11191.TextGrid,1,Leondra R Kruger,1,
2009,2009_07_11191.TextGrid,2,Stephen G Breyer,1,
2009,2009_07_11191.TextGrid,3,Stephen R Mccullough,1,
2009,2009_07_11191.TextGrid,4,Antonin Scalia,1,
2009,2009_07_11191.TextGrid,5,Sonia Sotomayor,1,
2009,2009_07_11191.TextGrid,6,John G Roberts,1,
2009,2009_07_11191.TextGrid,7,Richard D Friedman,1,
2009,2009_07_11191.TextGrid,8,Ruth Bader Ginsburg,1,
2009,2009_07_11191.TextGrid,9,Samuel Alito,1,
2009,2009_07_11191.TextGrid,10,Anthony Kennedy,1,
2009,2009_07_11191.TextGrid,11,John Paul Stevens,1,
2009,2009_08_1008.TextGrid,1,Stephen G Breyer,1,
2009,2009_08_1008.TextGrid,2,Christopher Landau,1,
2009,2009_08_1008.TextGrid,3,Antonin Scalia,1,
2009,2009_08_1008.TextGrid,4,Scott L Nelson,1,
2009,2009_08_1008.TextGrid,5,Sonia Sotomayor,1,
2009,2009_08_1008.TextGrid,6,John G Roberts,1,
2009,2009_08_1008.TextGrid,7,Ruth Bader Ginsburg,1,
2009,2009_08_1008.TextGrid,8,John Paul Stevens,1,
2009,2009_08_103.TextGrid,1,Stephen G Breyer,1,
2009,2009_08_103.TextGrid,2,Antonin Scalia,1,
2009,2009_08_103.TextGrid,3,Deborah Jones Merritt,1,
2009,2009_08_103.TextGrid,4,Charles S Sims,1,
2009,2009_08_103.TextGrid,5,John G Roberts,1,
2009,2009_08_103.TextGrid,6,Ruth Bader Ginsburg,1,
2009,2009_08_103.TextGrid,7,Anthony Kennedy,1,
2009,2009_08_103.TextGrid,8,John Paul Stevens,1,
2009,2009_08_103.TextGrid,9,Ginger Anders,1,
2009,2009_08_1065.TextGrid,1,Stephen G Breyer,1,
2009,2009_08_1065.TextGrid,2,Antonin Scalia,1,
2009,2009_08_1065.TextGrid,3,Paul D Clement,1,
2009,2009_08_1065.TextGrid,4,Sonia Sotomayor,1,
2009,2009_08_1065.TextGrid,5,John G Roberts,1,
2009,2009_08_1065.TextGrid,6,Neal K Katyal,1,
2009,2009_08_1065.TextGrid,7,Stephen Sanders,1,
2009,2009_08_1065.TextGrid,8,Ruth Bader Ginsburg,1,
2009,2009_08_1065.TextGrid,9,Samuel Alito,1,
2009,2009_08_1065.TextGrid,10,Anthony Kennedy,1,
2009,2009_08_1065.TextGrid,11,John Paul Stevens,1,
2009,2009_08_1107.TextGrid,1,Antonin Scalia,0,
2009,2009_08_1107.TextGrid,2,Sonia Sotomayor,0,
2009,2009_08_1107.TextGrid,3,John G Roberts,0,
2009,2009_08_1107.TextGrid,4,Ruth Bader Ginsburg,0,
2009,2009_08_1107.TextGrid,5,Sri Srinivasan,0,
2009,2009_08_1107.TextGrid,6,Todd M  Schneider,0,
2009,2009_08_1107.TextGrid,7,Anthony Kennedy,0,
2009,2009_08_1107.TextGrid,8,John Paul Stevens,0,
2009,2009_08_1119.TextGrid,1,Stephen G Breyer,0,
2009,2009_08_1119.TextGrid,2,Antonin Scalia,0,
2009,2009_08_1119.TextGrid,3,G Eric Brunstad Jr,0,
2009,2009_08_1119.TextGrid,4,Sonia Sotomayor,0,
2009,2009_08_1119.TextGrid,5,John G Roberts,0,
2009,2009_08_1119.TextGrid,6,William M Jay,0,
2009,2009_08_1119.TextGrid,7,Ruth Bader Ginsburg,0,
2009,2009_08_1119.TextGrid,8,Anthony Kennedy,0,
2009,2009_08_1119.TextGrid,9,Samuel Alito,0,
2009,2009_08_1119.TextGrid,10,John Paul Stevens,0,
2009,2009_08_1134.TextGrid,1,Stephen G Breyer,1,
2009,2009_08_1134.TextGrid,2,Antonin Scalia,1,
2009,2009_08_1134.TextGrid,3,Madeleine C Wanslee,1,
2009,2009_08_1134.TextGrid,4,Toby J Heytens,1,
2009,2009_08_1134.TextGrid,5,Sonia Sotomayor,1,
2009,2009_08_1134.TextGrid,6,John G Roberts,1,
2009,2009_08_1134.TextGrid,7,Ruth Bader Ginsburg,1,
2009,2009_08_1134.TextGrid,8,Samuel Alito,1,
2009,2009_08_1134.TextGrid,9,Anthony Kennedy,1,
2009,2009_08_1134.TextGrid,10,Michael J Meehan,1,
2009,2009_08_1134.TextGrid,11,John Paul Stevens,1,
2009,2009_08_1151.TextGrid,1,Stephen G Breyer,0,string to float
2009,2009_08_1151.TextGrid,2,Antonin Scalia,0,
2009,2009_08_1151.TextGrid,3,D Kent Safriet,0,
2009,2009_08_1151.TextGrid,4,Sonia Sotomayor,0,
2009,2009_08_1151.TextGrid,5,John G Roberts,0,
2009,2009_08_1151.TextGrid,6,Edwin S Kneedler,0,
2009,2009_08_1151.TextGrid,7,Ruth Bader Ginsburg,0,
2009,2009_08_1151.TextGrid,8,Unidentified Justice,0,
2009,2009_08_1151.TextGrid,9,Samuel Alito,0,
2009,2009_08_1151.TextGrid,10,Anthony Kennedy,0,
2009,2009_08_1151.TextGrid,11,Scott D Makar,0,
2009,2009_08_1175.TextGrid,1,Deborah K Brueckheimer,1,
2009,2009_08_1175.TextGrid,2,Stephen G Breyer,1,
2009,2009_08_1175.TextGrid,3,David Oneil,1,
2009,2009_08_1175.TextGrid,4,Antonin Scalia,1,
2009,2009_08_1175.TextGrid,5,Joseph W Jacquot,1,
2009,2009_08_1175.TextGrid,6,Sonia Sotomayor,1,
2009,2009_08_1175.TextGrid,7,John G Roberts,1,
2009,2009_08_1175.TextGrid,8,Ruth Bader Ginsburg,1,
2009,2009_08_1175.TextGrid,9,Samuel Alito,1,
2009,2009_08_1175.TextGrid,10,Anthony Kennedy,1,
2009,2009_08_1175.TextGrid,11,John Paul Stevens,1,
2009,2009_08_1191.TextGrid,1,Matthew D Roberts,1,
2009,2009_08_1191.TextGrid,2,Stephen G Breyer,1,
2009,2009_08_1191.TextGrid,3,Antonin Scalia,1,
2009,2009_08_1191.TextGrid,4,George T Conway Iii,1,
