Year,TextGrid,TierNumber,TierName,useable,
2012,2012_11_10189.TextGrid,1,Stephen G Breyer,1,
2012,2012_11_10189.TextGrid,2,Warren A Wolf,1,
2012,2012_11_10189.TextGrid,3,Antonin Scalia,1,
2012,2012_11_10189.TextGrid,4,Elena Kagan,1,
2012,2012_11_10189.TextGrid,5,Andrew S Oldham,1,
2012,2012_11_10189.TextGrid,6,Sonia Sotomayor,1,
2012,2012_11_10189.TextGrid,7,John G Roberts,1,
2012,2012_11_10189.TextGrid,8,Ruth Bader Ginsburg,1,
2012,2012_11_10189.TextGrid,9,Anthony Kennedy,1,
2012,2012_11_10189.TextGrid,10,Samuel Alito,1,
2012,2012_11_10362.TextGrid,1,Stephen G Breyer,1,encoding problem
2012,2012_11_10362.TextGrid,2,Elena Kagan,1,encoding problem
2012,2012_11_10362.TextGrid,3,Antonin Scalia,1,encoding problem
2012,2012_11_10362.TextGrid,4,Anthony A Yang,1,encoding problem
2012,2012_11_10362.TextGrid,5,Jeffrey S Bucholtz,1,encoding problem
2012,2012_11_10362.TextGrid,6,Christopher J Paolella,1,encoding problem
2012,2012_11_10362.TextGrid,7,Sonia Sotomayor,1,encoding problem
2012,2012_11_10362.TextGrid,8,John G Roberts,1,encoding problem
2012,2012_11_10362.TextGrid,9,Ruth Bader Ginsburg,1,encoding problem
2012,2012_11_10362.TextGrid,10,Anthony Kennedy,1,encoding problem
2012,2012_11_1059.TextGrid,1,Stephen G Breyer,1,
2012,2012_11_1059.TextGrid,2,Antonin Scalia,1,
2012,2012_11_1059.TextGrid,3,Elena Kagan,1,
2012,2012_11_1059.TextGrid,4,Ronald Mann,1,
2012,2012_11_1059.TextGrid,5,Anthony A Yang,1,
2012,2012_11_1059.TextGrid,6,Sonia Sotomayor,1,
2012,2012_11_1059.TextGrid,7,Neal Kumar Katyal,1,
2012,2012_11_1059.TextGrid,8,John G Roberts,1,
2012,2012_11_1059.TextGrid,9,Ruth Bader Ginsburg,1,
2012,2012_11_1059.TextGrid,10,Anthony Kennedy,1,
2012,2012_11_1059.TextGrid,11,Samuel Alito,1,
2012,2012_11_1085.TextGrid,1,Stephen G Breyer,1,encoding problem
2012,2012_11_1085.TextGrid,2,Antonin Scalia,1,encoding problem
2012,2012_11_1085.TextGrid,3,Elena Kagan,1,encoding problem
2012,2012_11_1085.TextGrid,4,Seth P Waxman,1,encoding problem
2012,2012_11_1085.TextGrid,5,David C Frederick,1,encoding problem
2012,2012_11_1085.TextGrid,6,Sonia Sotomayor,1,encoding problem
2012,2012_11_1085.TextGrid,7,John G Roberts,1,encoding problem
2012,2012_11_1085.TextGrid,8,Ruth Bader Ginsburg,1,encoding problem
2012,2012_11_1085.TextGrid,9,Melissa Arbus Sherry,1,encoding problem
2012,2012_11_1085.TextGrid,10,Anthony Kennedy,1,encoding problem
2012,2012_11_1118.TextGrid,1,Elena Kagan,1,encoding problem
2012,2012_11_1118.TextGrid,2,Antonin Scalia,1,encoding problem
2012,2012_11_1118.TextGrid,3,Jane Webre,1,encoding problem
2012,2012_11_1118.TextGrid,4,Sonia Sotomayor,1,encoding problem
2012,2012_11_1118.TextGrid,5,Thomas M  Michel,1,encoding problem
2012,2012_11_1118.TextGrid,6,John G Roberts,1,encoding problem
2012,2012_11_1118.TextGrid,7,Ruth Bader Ginsburg,1,encoding problem
2012,2012_11_1118.TextGrid,8,Samuel Alito,1,encoding problem
2012,2012_11_1118.TextGrid,9,Anthony Kennedy,1,encoding problem
2012,2012_11_1160.TextGrid,1,Stephen G Breyer,1,encoding problem
2012,2012_11_1160.TextGrid,2,Elena Kagan,1,encoding problem
2012,2012_11_1160.TextGrid,3,Antonin Scalia,1,encoding problem
2012,2012_11_1160.TextGrid,4,Seth P Waxman,1,encoding problem
2012,2012_11_1160.TextGrid,5,Benjamin J Horwich,1,encoding problem
