Year,TextGrid,TierNumber,TierName,useable,
2007,2007_06_1005.TextGrid,1,david h souter,1,
2007,2007_06_1005.TextGrid,2,matthew d roberts,1,
2007,2007_06_1005.TextGrid,3,antonin scalia,1,
2007,2007_06_1005.TextGrid,4,john g roberts jr,1,
2007,2007_06_1005.TextGrid,5,john paul stevens,1,
2007,2007_06_1005.TextGrid,6,anthony kennedy,1,
2007,2007_06_1005.TextGrid,7,todd g vare,1,
2007,2007_06_1005.TextGrid,8,samuel a alito jr,1,
2007,2007_06_1005.TextGrid,9,ruth bader ginsburg,1,
2007,2007_06_1005.TextGrid,10,stephen g breyer,1,
2007,2007_06_10119.TextGrid,1,john paul stevens,1,
2007,2007_06_10119.TextGrid,2,anthony kennedy,1,
2007,2007_06_10119.TextGrid,3,david h souter,1,
2007,2007_06_10119.TextGrid,4,terry m boudreaux,1,
2007,2007_06_10119.TextGrid,5,antonin scalia,1,
2007,2007_06_10119.TextGrid,6,samuel a alito jr,1,
2007,2007_06_10119.TextGrid,7,stephen b bright,1,
2007,2007_06_10119.TextGrid,8,ruth bader ginsburg,1,
2007,2007_06_10119.TextGrid,9,john g roberts jr,1,
2007,2007_06_10119.TextGrid,10,stephen g breyer,1,
2007,2007_06_1037.TextGrid,1,david h souter,1,
2007,2007_06_1037.TextGrid,2,antonin scalia,1,
2007,2007_06_1037.TextGrid,3,john g roberts jr,1,
2007,2007_06_1037.TextGrid,4,john paul stevens,1,
2007,2007_06_1037.TextGrid,5,anthony kennedy,1,
2007,2007_06_1037.TextGrid,6,robert d klausner,1,
2007,2007_06_1037.TextGrid,7,samuel a alito jr,1,
2007,2007_06_1037.TextGrid,8,ruth bader ginsburg,1,
2007,2007_06_1037.TextGrid,9,malcolm l stewart,1,
2007,2007_06_1037.TextGrid,10,stephen g breyer,1,
2007,2007_06_1082.TextGrid,1,michael r dreeben,1,
2007,2007_06_1082.TextGrid,2,david h souter,1,
2007,2007_06_1082.TextGrid,3,stephen b mccullough,1,
2007,2007_06_1082.TextGrid,4,antonin scalia,1,
2007,2007_06_1082.TextGrid,5,john g roberts jr,1,
2007,2007_06_1082.TextGrid,6,john paul stevens,1,
2007,2007_06_1082.TextGrid,7,anthony kennedy,1,
2007,2007_06_1082.TextGrid,8,thomas c goldstein,1,
2007,2007_06_1082.TextGrid,9,samuel a alito jr,1,
2007,2007_06_1082.TextGrid,10,ruth bader ginsburg,1,
2007,2007_06_1082.TextGrid,11,stephen g breyer,1,
2007,2007_06_11429.TextGrid,1,anthony kennedy,1,
2007,2007_06_11429.TextGrid,2,nicole saharsky,1,
2007,2007_06_11429.TextGrid,3,jeffrey l fisher,1,
2007,2007_06_11429.TextGrid,4,antonin scalia,1,
2007,2007_06_11429.TextGrid,5,samuel a alito jr,1,
2007,2007_06_11429.TextGrid,6,ruth bader ginsburg,1,
